tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit
2019-02-04,Sofia,QF,Hard,3,Stefanos Tsitsipas,Gael Monfils,player1,other,0.6488573276026156,1.72,0.5532467532467532,0.0956105743558624,0.11603460347649885,False,1.0,-1.0
2019-02-04,Montpellier,R32,Hard,3,Radu Albot,Philipp Kohlschreiber,player1,other,0.40932147110652867,3.12,0.3035714285714286,0.10575004253510006,0.27708298985236957,True,1.0,2.12
2019-02-04,Cordoba,R32,Clay,3,Pablo Cuevas,Facundo Bagnis,player2,other,0.6665426040589251,1.61,0.588235294117647,0.0783073099412781,0.07313359253486945,True,1.0,0.6100000000000001
2019-02-04,Montpellier,R32,Hard,3,Filip Krajinovic,Nicolas Mahut,player1,other,0.7113345684265364,1.49,0.637469586374696,0.07386498205184044,0.05988850695553927,True,1.0,0.49
2019-02-04,Sofia,SF,Hard,3,Marton Fucsovics,Matteo Berrettini,player2,other,0.47405628079886974,2.27,0.4194373401534527,0.05461894064541706,0.07610775741343434,True,1.0,1.27
2019-02-04,Montpellier,R16,Hard,3,David Goffin,Filip Krajinovic,player2,other,0.7298558634181093,1.42,0.6705336426914155,0.0593222207266938,0.036395326053715094,False,1.0,-1.0
2019-02-04,Montpellier,R16,Hard,3,Benoit Paire,Tomas Berdych,player1,other,0.4335934680463689,2.69,0.35336538461538464,0.08022808343098425,0.1663664290447323,False,1.0,-1.0
2019-02-04,Montpellier,R32,Hard,3,Ernests Gulbis,Hubert Hurkacz,player2,other,0.5955323852969929,2.03,0.46858638743455505,0.12694599786243788,0.20893074215289553,True,1.0,1.0299999999999998
2019-02-04,Cordoba,R32,Clay,3,Aljaz Bedene,Maximilian Marterer,player2,other,0.5366720812108379,1.95,0.48548812664907653,0.051183954561761336,0.046510558361133825,True,1.0,0.95
2019-02-04,Sofia,SF,Hard,3,Daniil Medvedev,Gael Monfils,player1,other,0.6469536391448015,1.68,0.5670103092783505,0.07994332986645103,0.08688211376326654,True,1.0,0.6799999999999999
2019-02-04,Montpellier,R16,Hard,3,Lucas Pouille,Marcos Baghdatis,player2,other,0.7078196198056711,1.46,0.6515513126491647,0.056268307156506436,0.03341664491627977,False,1.0,-1.0
