match_key,match_date,tourney_name,surface,round,winner_name,loser_name,score,winner_serve_ace_pct,winner_serve_df_pct,winner_serve_first_in_pct,winner_serve_first_won_pct,winner_serve_second_won_pct,winner_serve_bp_saved_num,winner_serve_bp_saved_den,winner_total_points_won_pct,winner_return_points_won_pct,winner_return_bp_converted_num,winner_return_bp_converted_den,minutes,loser_serve_ace_pct,loser_serve_df_pct,loser_serve_first_in_pct,loser_serve_first_won_pct,loser_serve_second_won_pct,loser_serve_bp_saved_num,loser_serve_bp_saved_den,loser_total_points_won_pct,loser_return_points_won_pct,loser_return_bp_converted_num,loser_return_bp_converted_den,source_url
js_26bd58141c4a957f,2026-01-04,Brisbane,Hard,R32,Aleksandar Kovacevic,Nick Kyrgios,6-3 6-4,21.277,6.383,55.319,96.154,71.429,0,0,56.989,28.261,2,2,66,10.87,0.0,63.043,79.31,58.824,0,2,43.011,14.894,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_08a57e28d7eb0464,2026-01-04,Brisbane,Hard,R32,Alex Michelsen,James Duckworth,6-7(4) 7-6(2) 6-3,17.431,1.835,69.725,78.947,57.576,6,6,51.923,29.293,1,3,146,10.101,7.071,55.556,81.818,56.818,2,3,48.077,27.523,0,6,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_30ba71b2cc33e9cd,2026-01-04,Brisbane,Hard,R32,Brandon Nakashima,Alejandro Davidovich Fokina,7-6(4) 6-4,21.739,2.899,56.522,84.615,60.0,2,3,54.61,36.111,2,7,100,8.333,1.389,62.5,68.889,55.556,5,7,45.39,26.087,1,3,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_b8be25480de8bcb1,2026-01-04,Brisbane,Hard,R32,Cameron Norrie,Ugo Humbert,1-6 7-6(6) 7-5,9.615,3.846,62.5,66.154,46.154,2,7,48.78,38.614,3,10,155,12.871,3.96,54.455,70.909,50.0,7,10,51.22,41.346,5,7,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_0e25257f7ee3ed4f,2026-01-04,Brisbane,Hard,R32,Daniil Medvedev,Marton Fucsovics,6-2 6-3,9.524,4.762,66.667,78.571,42.857,2,4,59.596,54.386,6,10,69,0.0,3.509,61.404,54.286,31.818,4,10,40.404,33.333,2,4,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_955c56663889bb10,2026-01-04,Brisbane,Hard,R32,Frances Tiafoe,Aleksandar Vukic,6-2 6-2,7.692,0.0,71.795,82.143,81.818,0,0,65.882,52.174,4,6,60,6.522,6.522,56.522,57.692,35.0,2,6,34.118,17.949,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_77332b15ca1d8dd3,2026-01-04,Brisbane,Hard,R32,Giovanni Mpetshi Perricard,Tommy Paul,7-6(2) 3-6 7-6(6),21.818,3.636,72.727,75.0,63.333,2,3,47.573,19.792,0,1,131,6.25,1.042,65.625,79.365,81.818,1,1,52.427,28.182,1,3,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_69f1de30b87d2b92,2026-01-04,Brisbane,Hard,R32,Grigor Dimitrov,Pablo Carreno Busta,6-3 6-2,14.286,2.041,61.224,86.667,63.158,1,1,59.574,40.0,3,4,67,8.889,2.222,71.111,65.625,46.154,1,4,40.426,22.449,0,1,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_f215ba2b6d036912,2026-01-04,Brisbane,Hard,R32,Jiri Lehecka,Tomas Machac,6-4 6-7(5) 6-2,9.091,0.0,71.591,79.365,64.0,2,2,54.822,38.532,3,5,144,7.339,4.587,65.138,70.423,44.737,2,5,45.178,25.0,0,2,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_1d69a3b8cd573069,2026-01-04,Brisbane,Hard,R32,Kamil Majchrzak,Daniel Altmaier,7-6(4) 6-0,13.208,1.887,69.811,89.189,37.5,0,1,59.821,47.458,4,9,82,11.864,8.475,62.712,64.865,31.818,5,9,40.179,26.415,1,1,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_1767f1c6a96a4b27,2026-01-04,Brisbane,Hard,R32,Learner Tien,Camilo Ugo Carabelli,7-6(4) 6-3,1.639,3.279,59.016,80.556,68.0,0,1,55.118,36.364,2,7,91,3.03,3.03,57.576,76.316,46.429,5,7,44.882,24.59,1,1,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_51c2b7aaa386ced7,2026-01-04,Brisbane,Hard,R32,Quentin Halys,Alexei Popyrin,5-7 6-3 6-4,18.987,2.532,73.418,89.655,42.857,1,2,53.988,32.143,2,5,114,15.476,2.381,64.286,75.926,53.333,3,5,46.012,22.785,1,2,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_ff773464a4e049d1,2026-01-04,Brisbane,Hard,R32,Raphael Collignon,Denis Shapovalov,6-4 6-2,4.167,0.0,72.917,82.857,61.538,0,0,58.407,44.615,3,12,76,4.615,4.615,53.846,57.143,53.333,9,12,41.593,22.917,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_da4d68ad6e28080d,2026-01-04,Brisbane,Hard,R32,Reilly Opelka,Dane Sweeny,6-3 7-5,38.182,3.636,81.818,80.0,80.0,0,0,56.098,36.765,2,8,82,2.941,5.882,60.294,80.488,37.037,6,8,43.902,20.0,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_3d46032af59109ff,2026-01-04,Brisbane,Hard,R32,Rinky Hijikata,Adam Walton,6-3 6-2,12.963,0.0,61.111,66.667,61.905,1,2,55.882,45.833,4,8,72,8.333,2.083,66.667,56.25,50.0,4,8,44.118,35.185,1,2,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_eece92e57b169cd1,2026-01-04,Brisbane,Hard,R32,Sebastian Korda,Valentin Vacherot,7-6(1) 6-3,14.925,7.463,68.657,80.435,57.143,3,4,55.147,37.681,2,9,87,13.043,2.899,66.667,65.217,56.522,7,9,44.853,26.866,1,4,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_68a4887c95b33f14,2026-01-04,Brisbane,Hard,R16,Aleksandar Kovacevic,Cameron Norrie,7-6(4) 4-6 6-4,18.75,3.571,55.357,74.194,60.0,3,4,49.756,27.957,1,2,148,11.828,4.301,63.441,86.441,47.059,1,2,50.244,32.143,1,4,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_29de79a5bb7904c0,2026-01-04,Brisbane,Hard,R16,Alex Michelsen,Learner Tien,6-4 6-2,7.547,1.887,64.151,82.353,52.632,1,1,55.752,41.667,3,9,75,13.333,13.333,56.667,64.706,50.0,6,9,44.248,28.302,0,1,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_682a87db8aa1430d,2026-01-04,Brisbane,Hard,R16,Brandon Nakashima,Quentin Halys,6-2 6-4,20.0,0.0,73.333,72.727,56.25,2,2,55.172,41.071,3,9,76,10.714,7.143,62.5,68.571,42.857,6,9,44.828,31.667,0,2,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_67f69d9555cbd95b,2026-01-04,Brisbane,Hard,R16,Daniil Medvedev,Frances Tiafoe,6-3 6-2,18.75,8.333,70.833,91.176,42.857,0,0,58.889,38.095,3,6,60,4.762,0.0,59.524,80.0,35.294,3,6,41.111,22.917,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_6e0db70babb027db,2026-01-04,Brisbane,Hard,R16,Giovanni Mpetshi Perricard,Rinky Hijikata,4-6 7-6(5) 7-6(4),28.431,1.961,73.529,81.333,66.667,2,3,50.704,26.126,0,4,133,4.505,1.802,72.072,76.25,67.742,4,4,49.296,22.549,1,3,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_8dce86c26351376d,2026-01-04,Brisbane,Hard,R16,Kamil Majchrzak,Reilly Opelka,6-7(2) 7-6(7) 7-6(8),12.037,1.852,70.37,86.842,68.75,0,0,51.304,24.59,0,3,149,36.066,3.279,81.148,78.788,60.87,3,3,48.696,18.519,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_8dd9b67230470bfa,2026-01-04,Brisbane,Hard,R16,Raphael Collignon,Grigor Dimitrov,7-6(1) 6-3,15.152,3.03,66.667,81.818,63.636,3,3,56.463,40.741,1,7,108,13.58,2.469,49.383,77.5,41.463,6,7,43.537,24.242,0,3,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
js_ee37e9e61fa02302,2026-01-04,Brisbane,Hard,R16,Sebastian Korda,Jiri Lehecka,6-3 1-2 RET,21.429,3.571,57.143,100.0,66.667,0,0,56.522,36.585,1,4,46,14.634,0.0,65.854,77.778,35.714,3,4,43.478,14.286,0,0,https://raw.githubusercontent.com/JeffSackmann/tennis_atp/master/atp_matches_2026.csv
