ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,source_file,BFEW,BFEL
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Mayer F.,Giraldo S.,28.0,57.0,1215.0,778.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.45,2.65,1.44,2.62,1.47,2.85,1.44,2.63,1.47,3.2,1.42,2.78,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Nieminen J.,Benneteau J.,41.0,35.0,927.0,1075.0,6.0,3.0,2.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.2,1.75,2.0,1.8,1.91,1.8,2.1,1.73,2.0,1.8,2.26,1.73,2.05,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Nishikori K.,Matosevic M.,19.0,49.0,1830.0,845.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.3,3.85,1.3,3.2,1.3,4.2,1.28,3.58,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Baghdatis M.,Mitchell B.,36.0,326.0,1070.0,137.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.06,8.0,1.08,7.0,1.08,9.43,1.07,7.0,1.1,9.5,1.08,7.76,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Istomin D.,Klizan M.,43.0,30.0,897.0,1175.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.87,1.87,1.91,1.8,1.88,2.0,1.91,1.8,2.05,2.0,1.88,1.85,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Millman J.,Ito T.,199.0,79.0,239.0,655.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.75,2.0,1.73,2.0,1.7,2.27,1.8,1.91,1.85,2.28,1.71,2.08,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Falla A.,Levine J.,54.0,104.0,809.0,530.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.08,1.67,1.91,1.8,2.26,1.7,2.0,1.73,2.32,1.83,2.08,1.7,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Melzer J.,Kudla D.,29.0,137.0,1177.0,402.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.44,2.62,1.55,2.35,1.44,2.62,1.6,2.47,1.5,2.5,1.63,2.82,1.52,2.46,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Robredo T.,Harrison R.,114.0,69.0,495.0,710.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.5,1.5,2.38,1.53,2.93,1.45,2.5,1.5,3.25,1.53,2.66,1.47,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Dimitrov G.,Baker B.,48.0,61.0,866.0,756.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,2.8,1.44,2.62,1.38,3.3,1.4,2.75,1.45,3.55,1.39,2.87,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Goffin D.,Ebden M.,46.0,105.0,868.0,529.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.55,2.35,1.53,2.38,1.65,2.36,1.53,2.38,1.67,2.4,1.59,2.29,atp_odds_2013.xlsx,,
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Hewitt L.,Kunitsyn I.,83.0,162.0,625.0,339.0,6.0,3.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.2,4.33,1.17,4.65,1.22,4.0,1.28,4.02,1.2,4.0,1.28,4.65,1.22,4.07,atp_odds_2013.xlsx,,
