tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,clv,market_probability,edge,ev,won,stake,profit,friction_bps,friction_adjusted_odds,friction_adjusted_profit,friction_adjusted_ev
2018-12-31,2019-01-01,Doha,R32,Hard,3,Pierre Hugues Herbert,Dominic Thiem,player2,top_10,0.3839362145109013,3.75,3.77,-0.0053050397877983,0.25,0.1339362145109013,0.4397608044158798,True,1.0,2.75,200.0,3.695,2.695,0.41864431261778035
2018-12-31,2019-01-01,Doha,R32,Hard,3,Damir Dzumhur,Novak Djokovic,player2,top_10,0.1185597029463446,11.0,12.85,-0.1439688715953306,0.0871369294605809,0.0314227734857637,0.3041567324097912,False,1.0,-1.0,200.0,10.8,-1.0,0.28044479182052173
2018-12-31,2019-01-02,Pune,R16,Hard,3,Kevin Anderson,Laslo Djere,player2,top_10,0.8745819915878583,1.25,1.32,-0.053030303030303,0.75,0.1245819915878583,0.0932274894848229,True,1.0,0.25,200.0,1.245,0.2450000000000001,0.08885457952688369
2018-12-31,2019-01-02,Brisbane,R16,Hard,3,Denis Kudla,Kei Nishikori,player2,top_10,0.2670259796682126,5.0,5.17,-0.0328820116054158,0.1883116883116883,0.0787142913565243,0.3351298983410631,False,1.0,-1.0,200.0,4.92,-1.0,0.31376781996760617
2018-12-31,2019-01-03,Brisbane,QF,Hard,3,Grigor Dimitrov,Kei Nishikori,player2,top_10,0.5007591873557637,2.3,2.26,0.0176991150442478,0.411764705882353,0.0889944814734107,0.1517461309182565,False,1.0,-1.0,200.0,2.274,-1.0,0.13872639204700676
2018-12-31,2019-01-04,Doha,SF,Hard,3,Roberto Bautista Agut,Novak Djokovic,player2,top_10,0.2144838288822134,5.0,4.95,0.0101010101010101,0.1883116883116883,0.0261721405705251,0.072419144411067,True,1.0,4.0,200.0,4.92,3.92,0.05526043810048997
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player2,top_10,0.4842518046824866,2.37,2.36,0.0042372881355932,0.398477157360406,0.0857746473220806,0.1476767770974933,False,1.0,-1.0,200.0,2.3426,-1.0,0.13440827764919316
2019-01-07,2019-01-08,Auckland,R16,Hard,3,Taylor Fritz,John Isner,player1,top_10,0.4385733378180537,2.37,2.4,-0.0124999999999999,0.3923076923076922,0.0462656455103614,0.0394188106287872,True,1.0,1.37,200.0,2.3426,1.3426,0.027401901172572574
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1636695901770869,6.5,7.07,-0.0806223479490806,0.1458607095926412,0.0178088805844456,0.0638523361510648,False,1.0,-1.0,200.0,6.39,-1.0,0.04584868123158525
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,John Isner,Reilly Opelka,player1,top_10,0.8483397340956729,1.5,1.46,0.0273972602739727,0.6359223300970874,0.2124174039985854,0.2725096011435093,False,1.0,-1.0,200.0,1.49,-1.0,0.2640262038025526
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,James Duckworth,Rafael Nadal,player2,top_10,0.1899965654479229,11.0,11.64,-0.0549828178694158,0.0871369294605809,0.102859635987342,1.0899622199271528,False,1.0,-1.0,200.0,10.8,-1.0,1.0519629068375673
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Kamil Majchrzak,Kei Nishikori,player1,top_10,0.1139187368674845,17.0,15.25,0.1147540983606556,0.0566037735849056,0.0573149632825788,0.9366185267472368,False,1.0,-1.0,200.0,16.68,-1.0,0.9001645309496413
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Steve Darcis,Borna Coric,player2,other,0.187909012925324,5.5,5.37,0.0242085661080073,0.1716867469879518,0.0162222659373722,0.0334995710892821,False,1.0,-1.0,200.0,5.41,-1.0,0.01658775992600292
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Benoit Paire,Dominic Thiem,player1,top_10,0.4295688741376467,3.75,3.68,0.0190217391304348,0.2544731610337972,0.1750957131038494,0.610883278016175,False,1.0,-1.0,200.0,3.695,-1.0,0.5872569899386044
