bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
1,1,1.0,1.0,0.6699999999999999,0.6699999999999999,0.6566000000000001,0.6566000000000001,0.0,1.67,0.762661465928311,0.19418601373192856,0.030864197530864113,1.0,0.10210621197771613,0.1,other,3.0,False,Grass,
1,1,1.0,1.0,0.6699999999999999,0.6699999999999999,0.6566000000000001,0.6566000000000001,0.0,1.67,0.762661465928311,0.19418601373192856,0.030864197530864113,1.0,0.10210621197771613,0.1,other,5.0,False,Grass,
24,18,0.75,24.0,11.54,0.4808333333333333,11.1892,0.46621666666666667,-3.0,2.0591666666666666,0.6236950403909716,0.11028354202785533,0.0018558543612351337,0.375,0.05971359741244046,0.075,top_10,3.0,True,Grass,
14,10,0.7142857142857143,14.0,6.17,0.4407142857142857,5.9666,0.4261857142857143,-2.0,2.1342857142857143,0.6295917388109826,0.1339980542846261,0.0021421616643891228,0.42857142857142855,0.07368821990969032,0.1,,3.0,True,Grass,
14,10,0.7142857142857143,14.0,6.17,0.4407142857142857,5.9666,0.4261857142857143,-2.0,2.1342857142857143,0.6295917388109826,0.1339980542846261,0.0021421616643891228,0.42857142857142855,0.07368821990969032,0.1,top_10,3.0,True,Grass,
25,18,0.72,25.0,10.54,0.4216,10.1892,0.407568,-4.0,2.0968,0.6134057580707919,0.10780344691492769,0.0035934668766812016,0.4,0.057821998251740066,0.075,,3.0,True,Grass,
25,15,0.6,25.0,8.29,0.33159999999999995,7.924199999999999,0.31696799999999997,-2.0,2.4259999999999997,0.4749499069956127,0.06837773978441483,0.00651517571310321,0.56,0.022410305589823723,0.075,other,3.0,True,Hard,
33,22,0.6666666666666666,33.0,9.91,0.3003030303030303,9.4918,0.287630303030303,-5.8,1.9881818181818183,0.6270473760104202,0.09861575025454646,0.0013360810501607014,0.3939393939393939,0.051616825273665866,0.05,top_10,3.0,True,Grass,
43,30,0.6976744186046512,43.0,10.219999999999999,0.23767441860465113,9.7556,0.22687441860465116,-6.7,1.8846511627906979,0.6530594363195139,0.09060332909533689,0.0014951909000748263,0.4186046511627907,0.049767025598424476,0.03,top_10,3.0,True,Grass,
48,33,0.6875,48.0,11.18,0.23291666666666666,10.656399999999998,0.22200833333333328,-3.0,1.9272916666666664,0.6772145277338457,0.1256545869382123,-0.0017406511058306942,0.3541666666666667,0.07872221030183928,0.075,top_10,3.0,False,Grass,
40,23,0.575,40.0,8.979999999999999,0.22449999999999998,8.460399999999998,0.21150999999999995,-3.0,2.30925,0.5107951542860013,0.08103843484027322,0.008045796667237703,0.575,0.029701977280548585,0.075,other,3.0,True,,
