tourney_name,surface,draw_size,tourney_level,start_date,ta_url,round,winner_name,loser_name,winner_rank,loser_rank,score,time,dr,winner_stats,loser_stats,scrape_method,winner_seed,loser_seed,winner_ioc,loser_ioc,match_num
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,F,Gael Monfils,Zizou Bergs,52.0,66.0,6-3 6-4,,1.41,"{'ace_pct': 0.0141, 'first_in_pct': 0.067, 'first_won_pct': 0.55, 'second_won_pct': 0.879}","{'first_in_pct': 0.031, 'first_won_pct': 0.6559999999999999, 'second_won_pct': 0.7140000000000001}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,SF,Zizou Bergs,Nuno Borges,66.0,36.0,6-2 3-6 7-5,,1.05,"{'ace_pct': 0.0105, 'first_in_pct': 0.069, 'first_won_pct': 0.552, 'second_won_pct': 0.6459999999999999}","{'first_in_pct': 0.0, 'first_won_pct': 0.617, 'second_won_pct': 0.586}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,SF,Gael Monfils,Nishesh Basavareddy,52.0,133.0,7-6(5) 6-4,,0.75,"{'ace_pct': 0.0075, 'first_in_pct': 0.08, 'first_won_pct': 0.545, 'second_won_pct': 0.75}","{'first_in_pct': 0.051, 'first_won_pct': 0.644, 'second_won_pct': 0.711}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,QF,Nuno Borges,Jakub Mensik,36.0,49.0,6-7(4) 6-2 7-6(4),,1.13,"{'ace_pct': 0.0113, 'first_in_pct': 0.048, 'first_won_pct': 0.721, 'second_won_pct': 0.7070000000000001}","{'first_in_pct': 0.14400000000000002, 'first_won_pct': 0.593, 'second_won_pct': 0.757}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,QF,Zizou Bergs,Roberto Carballes Baena,66.0,59.0,1-6 6-2 6-3,,1.15,"{'ace_pct': 0.0115, 'first_in_pct': 0.031, 'first_won_pct': 0.569, 'second_won_pct': 0.703}","{'first_in_pct': 0.027000000000000003, 'first_won_pct': 0.608, 'second_won_pct': 0.711}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,QF,Gael Monfils,Facundo Diaz Acosta,52.0,78.0,6-3 6-1,,1.43,"{'ace_pct': 0.0143, 'first_in_pct': 0.077, 'first_won_pct': 0.635, 'second_won_pct': 0.848}","{'first_in_pct': 0.0, 'first_won_pct': 0.667, 'second_won_pct': 0.625}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,QF,Nishesh Basavareddy,Alex Michelsen,133.0,41.0,2-6 6-2 6-4,,1.21,"{'ace_pct': 0.0121, 'first_in_pct': 0.051, 'first_won_pct': 0.5820000000000001, 'second_won_pct': 0.804}","{'first_in_pct': 0.068, 'first_won_pct': 0.63, 'second_won_pct': 0.7829999999999999}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Jakub Mensik,Ben Shelton,49.0,21.0,7-6(2) 4-6 7-5,,1.16,"{'ace_pct': 0.0116, 'first_in_pct': 0.084, 'first_won_pct': 0.597, 'second_won_pct': 0.8029999999999999}","{'first_in_pct': 0.055, 'first_won_pct': 0.6609999999999999, 'second_won_pct': 0.643}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Nuno Borges,Mariano Navone,36.0,46.0,4-6 7-5 6-4,,0.99,"{'ace_pct': 0.009899999999999999, 'first_in_pct': 0.054000000000000006, 'first_won_pct': 0.6759999999999999, 'second_won_pct': 0.627}","{'first_in_pct': 0.039, 'first_won_pct': 0.618, 'second_won_pct': 0.6509999999999999}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Roberto Carballes Baena,Francisco Cerundolo,59.0,31.0,6-2 7-5,,1.28,"{'ace_pct': 0.0128, 'first_in_pct': 0.043, 'first_won_pct': 0.7390000000000001, 'second_won_pct': 0.725}","{'first_in_pct': 0.102, 'first_won_pct': 0.593, 'second_won_pct': 0.6859999999999999}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Zizou Bergs,Luca Nardi,66.0,90.0,6-1 6-4,,1.8,"{'ace_pct': 0.018000000000000002, 'first_in_pct': 0.149, 'first_won_pct': 0.5529999999999999, 'second_won_pct': 0.8079999999999999}","{'first_in_pct': 0.043, 'first_won_pct': 0.493, 'second_won_pct': 0.5589999999999999}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Gael Monfils,Jan Lennard Struff,52.0,42.0,6-1 7-6(5),,1.48,"{'ace_pct': 0.0148, 'first_in_pct': 0.226, 'first_won_pct': 0.6609999999999999, 'second_won_pct': 0.902}","{'first_in_pct': 0.08900000000000001, 'first_won_pct': 0.5, 'second_won_pct': 0.7140000000000001}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Facundo Diaz Acosta,Sebastian Baez,78.0,28.0,6-4 7-6(1),,1.16,"{'ace_pct': 0.0116, 'first_in_pct': 0.051, 'first_won_pct': 0.557, 'second_won_pct': 0.727}","{'first_in_pct': 0.013000000000000001, 'first_won_pct': 0.667, 'second_won_pct': 0.62}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Alex Michelsen,Lorenzo Sonego,41.0,54.0,7-6(3) 6-2,,1.42,"{'ace_pct': 0.014199999999999999, 'first_in_pct': 0.013999999999999999, 'first_won_pct': 0.7140000000000001, 'second_won_pct': 0.78}","{'first_in_pct': 0.067, 'first_won_pct': 0.7979999999999999, 'second_won_pct': 0.634}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R16,Nishesh Basavareddy,Alejandro Tabilo,133.0,23.0,6-4 5-7 6-4,,1.06,"{'ace_pct': 0.0106, 'first_in_pct': 0.091, 'first_won_pct': 0.667, 'second_won_pct': 0.727}","{'first_in_pct': 0.111, 'first_won_pct': 0.6759999999999999, 'second_won_pct': 0.726}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Jakub Mensik,Pablo Carreno Busta,49.0,184.0,6-2 4-6 7-5,,1.34,"{'ace_pct': 0.0134, 'first_in_pct': 0.205, 'first_won_pct': 0.625, 'second_won_pct': 0.818}","{'first_in_pct': 0.03, 'first_won_pct': 0.63, 'second_won_pct': 0.7140000000000001}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Mariano Navone,Adrian Mannarino,46.0,73.0,7-6(6) 6-7(5) 6-1,,1.13,"{'ace_pct': 0.0113, 'first_in_pct': 0.043, 'first_won_pct': 0.621, 'second_won_pct': 0.708}","{'first_in_pct': 0.027000000000000003, 'first_won_pct': 0.518, 'second_won_pct': 0.603}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Nuno Borges,Luciano Darderi,36.0,44.0,5-7 6-3 7-5,,1.21,"{'ace_pct': 0.0121, 'first_in_pct': 0.012, 'first_won_pct': 0.6859999999999999, 'second_won_pct': 0.695}","{'first_in_pct': 0.08199999999999999, 'first_won_pct': 0.5670000000000001, 'second_won_pct': 0.655}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Roberto Carballes Baena,Daniel Altmaier,59.0,93.0,6-3 3-6 7-5,,1.36,"{'ace_pct': 0.013600000000000001, 'first_in_pct': 0.047, 'first_won_pct': 0.64, 'second_won_pct': 0.7090000000000001}","{'first_in_pct': 0.063, 'first_won_pct': 0.631, 'second_won_pct': 0.7}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Zizou Bergs,Isaac Becroft,66.0,980.0,6-3 7-5,,1.26,"{'ace_pct': 0.0126, 'first_in_pct': 0.129, 'first_won_pct': 0.5429999999999999, 'second_won_pct': 0.8420000000000001}","{'first_in_pct': 0.019, 'first_won_pct': 0.66, 'second_won_pct': 0.629}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Luca Nardi,Flavio Cobolli,90.0,32.0,6-2 1-1 RET,,1.45,"{'ace_pct': 0.014499999999999999, 'first_in_pct': 0.111, 'first_won_pct': 0.611, 'second_won_pct': 0.8640000000000001}","{'first_in_pct': 0.034, 'first_won_pct': 0.483, 'second_won_pct': 0.5}",,,,,,
"2025 Auckland Tournament Results, Stats, and Analysis",HardDraw,28.0,C,2025-01-06,https://www.tennisabstract.com/cgi-bin/tourney.cgi?t=2025-0301%2FBrisbane,R32,Jan Lennard Struff,Bu Yunchaokete,42.0,65.0,6-3 6-4,,1.88,"{'ace_pct': 0.018799999999999997, 'first_in_pct': 0.26, 'first_won_pct': 0.62, 'second_won_pct': 0.8390000000000001}","{'first_in_pct': 0.08199999999999999, 'first_won_pct': 0.616, 'second_won_pct': 0.644}",,,,,,
