match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,minutes,source,ta_stats_source,source_profile_players,year,player_won,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,winner_name_norm,loser_name_norm,score_norm,round_norm,match_key,tourney_level,draw_size
2025-08-25,US Open,Hard,F,Carlos Alcaraz,Jannik Sinner,6-2 3-6 6-1 6-4,1.56,0.11199999999999999,0.0,0.607,0.833,0.5710000000000001,0.0,1.0,0.0,0.64,0.018000000000000002,0.036000000000000004,0.48200000000000004,0.685,0.483,6.0,11.0,0.5454545454545454,162.0,player_profile_classic,player_profile_classic,"['Carlos Alcaraz', 'Jannik Sinner']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Andrea Collarini,Jan Choinski,7-6(4) 6-4,1.21,0.071,0.013999999999999999,0.6,0.667,0.607,3.0,6.0,0.5,0.83,0.051,0.0,0.684,0.63,0.44,5.0,9.0,0.5555555555555556,108.0,player_profile_classic,player_profile_classic,"['Andrea Collarini', 'Jan Choinski']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Andres Martin,Viktor Durasovic,6-2 6-3,1.73,0.061,0.061,0.5920000000000001,0.759,0.6,3.0,4.0,0.75,0.58,0.094,0.038,0.604,0.594,0.28600000000000003,2.0,7.0,0.2857142857142857,64.0,player_profile_classic,player_profile_classic,"['Andres Martin', 'Viktor Durasovic']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Arthur Cazaux,Mark Lajal,6-4 6-1,1.7,0.17300000000000001,0.038,0.654,0.794,0.5,2.0,3.0,0.6666666666666666,0.59,0.024,0.14300000000000002,0.452,0.579,0.391,1.0,5.0,0.2,65.0,player_profile_classic,player_profile_classic,"['Arthur Cazaux', 'Mark Lajal']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Beibit Zhukayev,Jack Pinnington Jones,3-6 7-6(6) 7-6(12),,,,,,,,,,,,,,,,,,,213.0,,,,2025,True,Beibit Zhukayev,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BeibitZhukayev,,0.95,0.11,0.081,0.544,0.757,0.40299999999999997,7.0,11.0,0.6363636363636364,BEIBIT ZHUKAYEV,JACK PINNINGTON JONES,3-6 7-6(6) 7-6(12),Q1,2025|2025-08-25|US Open|Q1|BEIBIT ZHUKAYEV|JACK PINNINGTON JONES|3-6 7-6(6) 7-6(12),G,128
2025-08-25,US Open,Hard,Q1,Beibit Zhukayev,Pinnington Jones,3-6 7-6(6) 7-6(12),,,,,,,,,,,,,,,,,,,213.0,,,,2025,False,Jack Pinnington Jones,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JackPinningtonJones,,1.06,0.086,0.086,0.609,0.718,0.46,4.0,7.0,0.5714285714285714,BEIBIT ZHUKAYEV,PINNINGTON JONES,3-6 7-6(6) 7-6(12),Q1,2025|2025-08-25|US Open|Q1|BEIBIT ZHUKAYEV|PINNINGTON JONES|3-6 7-6(6) 7-6(12),G,128
2025-08-25,US Open,Hard,Q1,Benjamin Hassan,Barrios Vera,6-2 7-6(3),,,,,,,,,,,,,,,,,,,88.0,,,,2025,False,Tomas Barrios Vera,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasBarriosVera,,0.74,0.027999999999999997,0.027999999999999997,0.708,0.529,0.524,6.0,10.0,0.6,BENJAMIN HASSAN,BARRIOS VERA,6-2 7-6(3),Q1,2025|2025-08-25|US Open|Q1|BENJAMIN HASSAN|BARRIOS VERA|6-2 7-6(3),G,128
2025-08-25,US Open,Hard,Q1,Benjamin Hassan,Tomas Barrios Vera,6-2 7-6(3),,,,,,,,,,,,,,,,,,,88.0,,,,2025,True,Benjamin Hassan,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BenjaminHassan,,1.35,0.14300000000000002,0.095,0.49200000000000005,0.935,0.375,1.0,3.0,0.3333333333333333,BENJAMIN HASSAN,TOMAS BARRIOS VERA,6-2 7-6(3),Q1,2025|2025-08-25|US Open|Q1|BENJAMIN HASSAN|TOMAS BARRIOS VERA|6-2 7-6(3),G,128
2025-08-25,US Open,Hard,Q1,Bernard Tomic,Patrick Kypson,6-4 6-4,,,,,,,,,,,,,,,,,,,85.0,,,,2025,True,Bernard Tomic,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BernardTomic,,1.7,0.214,0.0,0.625,0.8290000000000001,0.667,2.0,2.0,1.0,BERNARD TOMIC,PATRICK KYPSON,6-4 6-4,Q1,2025|2025-08-25|US Open|Q1|BERNARD TOMIC|PATRICK KYPSON|6-4 6-4,G,128
2025-08-25,US Open,Hard,Q1,Billy Harris,James Trotter,3-6 6-1 6-2,1.44,0.015,0.015,0.5670000000000001,0.6579999999999999,0.759,2.0,4.0,0.5,0.7,0.063,0.016,0.603,0.6579999999999999,0.44,0.0,5.0,0.0,105.0,player_profile_classic,player_profile_classic,"['Billy Harris', 'James Trotter']",2025,,,,,,,,,,,,,,,,,,,G,128
