match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,minutes,source,ta_stats_source,source_profile_players,year,player_won,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,winner_name_norm,loser_name_norm,score_norm,round_norm,match_key,tourney_level,draw_size
2025-06-30,Wimbledon,Grass,F,Jannik Sinner,Carlos Alcaraz,4-6 6-4 6-4 6-4,1.18,0.068,0.017,0.615,0.75,0.6,4.0,6.0,0.6666666666666666,0.85,0.124,0.057999999999999996,0.529,0.75,0.509,5.0,9.0,0.5555555555555556,184,player_profile_classic,player_profile_classic,"['Jannik Sinner', 'Carlos Alcaraz']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,Q1,Adrian Mannarino,Andrea Collarini,6-4 6-2,,,,,,,,,,,,,,,,,,,82,,,,2025,True,Adrian Mannarino,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AdrianMannarino,,1.33,0.106,0.045,0.636,0.762,0.41700000000000004,8.0,9.0,0.8888888888888888,ADRIAN MANNARINO,ANDREA COLLARINI,6-4 6-2,Q1,2025|2025-06-30|Wimbledon|Q1|ADRIAN MANNARINO|ANDREA COLLARINI|6-4 6-2,G,128
2025-06-30,Wimbledon,Grass,Q1,Alex Bolt,Harold Mayot,6-3 6-4,,,,,,,,,,,,,,,,,,,75,,,,2025,True,Alex Bolt,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexBolt,,1.49,0.067,0.033,0.583,0.743,0.76,1.0,1.0,1.0,ALEX BOLT,HAROLD MAYOT,6-3 6-4,Q1,2025|2025-06-30|Wimbledon|Q1|ALEX BOLT|HAROLD MAYOT|6-3 6-4,G,128
2025-06-30,Wimbledon,Grass,Q1,Arthur Cazaux,Ignacio Buse,6-2 6-7(11) 6-1,,,,,,,,,,,,,,,,,,,136,,,,2025,True,Arthur Cazaux,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ArthurCazaux,,1.46,0.061,0.037000000000000005,0.6709999999999999,0.818,0.444,1.0,2.0,0.5,ARTHUR CAZAUX,IGNACIO BUSE,6-2 6-7(11) 6-1,Q1,2025|2025-06-30|Wimbledon|Q1|ARTHUR CAZAUX|IGNACIO BUSE|6-2 6-7(11) 6-1,G,128
2025-06-30,Wimbledon,Grass,Q1,Beibit Zhukayev,Vitaliy Sachko,7-5 4-6 7-6(3),,,,,,,,,,,,,,,,,,,144,,,,2025,True,Beibit Zhukayev,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BeibitZhukayev,,1.14,0.2,0.048,0.6859999999999999,0.764,0.515,3.0,6.0,0.5,BEIBIT ZHUKAYEV,VITALIY SACHKO,7-5 4-6 7-6(3),Q1,2025|2025-06-30|Wimbledon|Q1|BEIBIT ZHUKAYEV|VITALIY SACHKO|7-5 4-6 7-6(3),G,128
2025-06-30,Wimbledon,Grass,Q1,Chris Rodesch,Matteo Gigante,6-2 6-4,,,,,,,,,,,,,,,,,,,74,,,,2025,True,Chris Rodesch,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ChrisRodesch,,1.43,0.11699999999999999,0.017,0.7,0.7140000000000001,0.611,6.0,6.0,1.0,CHRIS RODESCH,MATTEO GIGANTE,6-2 6-4,Q1,2025|2025-06-30|Wimbledon|Q1|CHRIS RODESCH|MATTEO GIGANTE|6-2 6-4,G,128
2025-06-30,Wimbledon,Grass,Q1,Cristian Garin,Francesco Maestrelli,6-3 6-4,,,,,,,,,,,,,,,,,,,74,,,,2025,True,Cristian Garin,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CristianGarin,,1.63,0.019,0.055999999999999994,0.7040000000000001,0.789,0.625,1.0,2.0,0.5,CRISTIAN GARIN,FRANCESCO MAESTRELLI,6-3 6-4,Q1,2025|2025-06-30|Wimbledon|Q1|CRISTIAN GARIN|FRANCESCO MAESTRELLI|6-3 6-4,G,128
2025-06-30,Wimbledon,Grass,Q1,Dusan Lajovic,Liam Draxl,3-6 6-3 6-3,,,,,,,,,,,,,,,,,,,117,,,,2025,True,Dusan Lajovic,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DusanLajovic,,1.3,0.096,0.027000000000000003,0.6990000000000001,0.706,0.591,6.0,9.0,0.6666666666666666,DUSAN LAJOVIC,LIAM DRAXL,3-6 6-3 6-3,Q1,2025|2025-06-30|Wimbledon|Q1|DUSAN LAJOVIC|LIAM DRAXL|3-6 6-3 6-3,G,128
2025-06-30,Wimbledon,Grass,Q1,Filip Misolic,Guy Den Ouden,3-6 6-1 7-5,,,,,,,,,,,,,,,,,,,114,,,,2025,True,Filip Misolic,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FilipMisolic,,1.24,0.024,0.035,0.47100000000000003,0.725,0.6890000000000001,4.0,5.0,0.8,FILIP MISOLIC,GUY DEN OUDEN,3-6 6-1 7-5,Q1,2025|2025-06-30|Wimbledon|Q1|FILIP MISOLIC|GUY DEN OUDEN|3-6 6-1 7-5,G,128
2025-06-30,Wimbledon,Grass,Q1,Giulio Zeppieri,Sumit Nagal,6-2 4-6 6-2,,,,,,,,,,,,,,,,,,,99,,,,2025,True,Giulio Zeppieri,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GiulioZeppieri,,1.7,0.094,0.047,0.703,0.8220000000000001,0.526,1.0,3.0,0.3333333333333333,GIULIO ZEPPIERI,SUMIT NAGAL,6-2 4-6 6-2,Q1,2025|2025-06-30|Wimbledon|Q1|GIULIO ZEPPIERI|SUMIT NAGAL|6-2 4-6 6-2,G,128
