player_name,player_name_resolved
Adam Walton,Adam Walton
Albert Ramos,Albert Ramos
Alejandro Davidovich Fokina,Alejandro Davidovich Fokina
Alejandro Tabilo,Alejandro Tabilo
Aleksandar Kovacevic,Aleksandar Kovacevic
Aleksandar Vukic,Aleksandar Vukic
Alex De Minaur,Alex De Minaur
Alex Michelsen,Alex Michelsen
Alexander Bublik,Alexander Bublik
Alexander Shevchenko,Alexander Shevchenko
Alexander Zverev,Alexander Zverev
Alexandre Muller,Alexandre Muller
Alexei Popyrin,Alexei Popyrin
Andrey Rublev,Andrey Rublev
Arthur Cazaux,Arthur Cazaux
Arthur Fils,Arthur Fils
Arthur Rinderknech,Arthur Rinderknech
Ben Shelton,Ben Shelton
Benjamin Bonzi,Benjamin Bonzi
Benjamin Hassan,Benjamin Hassan
Botic Van De Zandschulp,Botic Van De Zandschulp
Brandon Nakashima,Brandon Nakashima
Bu Yunchaokete,Bu Yunchaokete
Cameron Norrie,Cameron Norrie
Camilo Ugo Carabelli,Camilo Ugo Carabelli
Carlos Alcaraz,Carlos Alcaraz
Casper Ruud,Casper Ruud
Christopher Oconnell,Christopher Oconnell
Clement Tabur,Clement Tabur
Corentin Moutet,Corentin Moutet
Damir Dzumhur,Damir Dzumhur
Daniel Altmaier,Daniel Altmaier
Daniel Elahi Galan,Daniel Elahi Galan
Daniil Medvedev,Daniil Medvedev
Denis Shapovalov,Denis Shapovalov
Dusan Lajovic,Dusan Lajovic
Elmer Moller,Elmer Moller
Emilio Nava,Emilio Nava
Ethan Quinn,Ethan Quinn
Fabian Marozsan,Fabian Marozsan
Federico Agustin Gomez,Federico Agustin Gomez
Felix Auger Aliassime,Felix Auger Aliassime
Filip Misolic,Filip Misolic
Flavio Cobolli,Flavio Cobolli
Frances Tiafoe,Frances Tiafoe
Francesco Passaro,Francesco Passaro
Francisco Cerundolo,Francisco Cerundolo
Francisco Comesana,Francisco Comesana
Gabriel Diallo,Gabriel Diallo
Gael Monfils,Gael Monfils
Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard
Giulio Zeppieri,Giulio Zeppieri
Grigor Dimitrov,Grigor Dimitrov
Hamad Medjedovic,Hamad Medjedovic
Henrique Rocha,Henrique Rocha
Holger Rune,Holger Rune
Hubert Hurkacz,Hubert Hurkacz
Hugo Dellien,Hugo Dellien
Hugo Gaston,Hugo Gaston
Jack Draper,Jack Draper
Jacob Fearnley,Jacob Fearnley
Jaime Faria,Jaime Faria
Jakub Mensik,Jakub Mensik
James Duckworth,James Duckworth
Jan Lennard Struff,Jan Lennard Struff
Jannik Sinner,Jannik Sinner
Jaume Munar,Jaume Munar
Jenson Brooksby,Jenson Brooksby
Jesper De Jong,Jesper De Jong
Jiri Lehecka,Jiri Lehecka
Joao Fonseca,Joao Fonseca
Jordan Thompson,Jordan Thompson
Juan Manuel Cerundolo,Juan Manuel Cerundolo
Kamil Majchrzak,Kamil Majchrzak
Karen Khachanov,Karen Khachanov
Kyrian Jacquet,Kyrian Jacquet
Laslo Djere,Laslo Djere
Learner Tien,Learner Tien
Lloyd Harris,Lloyd Harris
Lorenzo Musetti,Lorenzo Musetti
Lorenzo Sonego,Lorenzo Sonego
Luca Nardi,Luca Nardi
Luciano Darderi,Luciano Darderi
Mackenzie Mcdonald,Mackenzie Mcdonald
Marcos Giron,Marcos Giron
Mariano Navone,Mariano Navone
Marin Cilic,Marin Cilic
Marton Fucsovics,Marton Fucsovics
Matteo Arnaldi,Matteo Arnaldi
Matteo Gigante,Matteo Gigante
Mattia Bellucci,Mattia Bellucci
Maximilian Marterer,Maximilian Marterer
Miomir Kecmanovic,Miomir Kecmanovic
Nicolas Jarry,Nicolas Jarry
Nikoloz Basilashvili,Nikoloz Basilashvili
Novak Djokovic,Novak Djokovic
Nuno Borges,Nuno Borges
Pablo Carreno Busta,Pablo Carreno Busta
Pablo Llamas Ruiz,Pablo Llamas Ruiz
Pedro Martinez,Pedro Martinez
Pierre Hugues Herbert,Pierre Hugues Herbert
Quentin Halys,Quentin Halys
Reilly Opelka,Reilly Opelka
Richard Gasquet,Richard Gasquet
Rinky Hijikata,Rinky Hijikata
Roberto Bautista Agut,Roberto Bautista Agut
Roman Safiullin,Roman Safiullin
Sebastian Baez,Sebastian Baez
Sebastian Korda,Sebastian Korda
Sebastian Ofner,Sebastian Ofner
Stan Wawrinka,Stan Wawrinka
Stefanos Tsitsipas,Stefanos Tsitsipas
Tallon Griekspoor,Tallon Griekspoor
Taylor Fritz,Taylor Fritz
Terence Atmane,Terence Atmane
Thiago Agustin Tirante,Thiago Agustin Tirante
Thiago Monteiro,Thiago Monteiro
Tomas Machac,Tomas Machac
Tomas Martin Etcheverry,Tomas Martin Etcheverry
Tommy Paul,Tommy Paul
Tristan Schoolkate,Tristan Schoolkate
Ugo Blanchet,Ugo Blanchet
Ugo Humbert,Ugo Humbert
Valentin Royer,Valentin Royer
Vit Kopriva,Vit Kopriva
Yannick Hanfmann,Yannick Hanfmann
Yoshihito Nishioka,Yoshihito Nishioka
Zizou Bergs,Zizou Bergs
