match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players,year,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key
2025-05-26,Roland Garros,Clay,F,Carlos Alcaraz,Jannik Sinner,4-6 6-7(4) 6-4 7-6(3) 7-6(2),0.99,0.036000000000000004,0.036000000000000004,0.5820000000000001,0.628,0.568,8.0,15.0,0.5333333333333333,1.01,0.042,0.0,0.539,0.6990000000000001,0.5,7.0,14.0,0.5,"{'ace_pct': 0.036000000000000004, 'df_pct': 0.036000000000000004, 'first_in_pct': 0.5820000000000001, 'first_won_pct': 0.628, 'second_won_pct': 0.568, 'bpsvd_pct': 0.5333333333333333, 'bpsvd_num': 8, 'bpsvd_den': 15}","{'ace_pct': 0.042, 'df_pct': 0.0, 'first_in_pct': 0.539, 'first_won_pct': 0.6990000000000001, 'second_won_pct': 0.5, 'bpsvd_pct': 0.5, 'bpsvd_num': 7, 'bpsvd_den': 14}",2.0,1.0,0.99,329.0,player_profile_classic,player_profile_classic,"['Carlos Alcaraz', 'Jannik Sinner']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Albert Ramos,Khumoyun Sultanov,6-1 6-1,2.05,0.075,0.025,0.8,0.813,0.375,0.0,0.0,,0.49,0.077,0.0,0.59,0.522,0.313,2.0,7.0,0.2857142857142857,"{'ace_pct': 0.075, 'df_pct': 0.025, 'first_in_pct': 0.8, 'first_won_pct': 0.813, 'second_won_pct': 0.375, 'bpsvd_num': 0, 'bpsvd_den': 0}","{'ace_pct': 0.077, 'df_pct': 0.0, 'first_in_pct': 0.59, 'first_won_pct': 0.522, 'second_won_pct': 0.313, 'bpsvd_pct': 0.2857142857142857, 'bpsvd_num': 2, 'bpsvd_den': 7}",251.0,223.0,2.05,,player_profile_classic,player_profile_classic,"['Albert Ramos', 'Khumoyun Sultanov']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Alexander Shevchenko,Shintaro Mochizuki,6-7(2) 6-2 6-4,1.17,0.05,0.04,0.574,0.7070000000000001,0.442,2.0,6.0,0.3333333333333333,0.85,0.019,0.038,0.629,0.591,0.41,6.0,13.0,0.46153846153846156,"{'ace_pct': 0.05, 'df_pct': 0.04, 'first_in_pct': 0.574, 'first_won_pct': 0.7070000000000001, 'second_won_pct': 0.442, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}","{'ace_pct': 0.019, 'df_pct': 0.038, 'first_in_pct': 0.629, 'first_won_pct': 0.591, 'second_won_pct': 0.41, 'bpsvd_pct': 0.46153846153846156, 'bpsvd_num': 6, 'bpsvd_den': 13}",103.0,155.0,1.17,,player_profile_classic,player_profile_classic,"['Alexander Shevchenko', 'Shintaro Mochizuki']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Alvaro Guillen Meza,Pacheco Mendez,6-4 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False,266.0,179.0,Rodrigo Pacheco Mendez,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RodrigoPachecoMendez,,0.74,0.013999999999999999,0.043,0.623,0.512,0.5379999999999999,4.0,9.0,0.4444444444444444,,ALVARO GUILLEN MEZA,PACHECO MENDEZ,6-4 6-3,2025|2025-05-26|Roland Garros|Q1|ALVARO GUILLEN MEZA|PACHECO MENDEZ|6-4 6-3
2025-05-26,Roland Garros,Clay,Q1,Andrea Collarini,Nishesh Basavareddy,7-5 5-7 6-4,1.19,0.022000000000000002,0.032,0.731,0.721,0.64,0.0,2.0,0.0,0.84,0.092,0.037000000000000005,0.78,0.6940000000000001,0.45799999999999996,3.0,6.0,0.5,"{'ace_pct': 0.022000000000000002, 'df_pct': 0.032, 'first_in_pct': 0.731, 'first_won_pct': 0.721, 'second_won_pct': 0.64, 'bpsvd_pct': 0.0, 'bpsvd_num': 0, 'bpsvd_den': 2}","{'ace_pct': 0.092, 'df_pct': 0.037000000000000005, 'first_in_pct': 0.78, 'first_won_pct': 0.6940000000000001, 'second_won_pct': 0.45799999999999996, 'bpsvd_pct': 0.5, 'bpsvd_num': 3, 'bpsvd_den': 6}",203.0,100.0,1.19,,player_profile_classic,player_profile_classic,"['Andrea Collarini', 'Nishesh Basavareddy']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Arthur Gea,Alexander Blockx,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,309.0,143.0,Arthur Gea,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ArthurGea,,0.97,0.031,0.039,0.703,0.589,0.447,16.0,21.0,0.7619047619047619,,ARTHUR GEA,ALEXANDER BLOCKX,4-6 6-4 6-3,2025|2025-05-26|Roland Garros|Q1|ARTHUR GEA|ALEXANDER BLOCKX|4-6 6-4 6-3
2025-05-26,Roland Garros,Clay,Q1,Barrios Vera,Luka Pavlovic,6-4 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,110.0,216.0,Tomas Barrios Vera,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasBarriosVera,,1.43,0.0,0.0,0.635,0.675,0.7829999999999999,6.0,6.0,1.0,,BARRIOS VERA,LUKA PAVLOVIC,6-4 6-3,2025|2025-05-26|Roland Garros|Q1|BARRIOS VERA|LUKA PAVLOVIC|6-4 6-3
2025-05-26,Roland Garros,Clay,Q1,Benjamin Hassan,Pavel Kotov,7-6(3) 7-5,1.11,0.079,0.022000000000000002,0.539,0.667,0.537,5.0,8.0,0.625,0.9,0.055999999999999994,0.067,0.618,0.545,0.588,6.0,10.0,0.6,"{'ace_pct': 0.079, 'df_pct': 0.022000000000000002, 'first_in_pct': 0.539, 'first_won_pct': 0.667, 'second_won_pct': 0.537, 'bpsvd_pct': 0.625, 'bpsvd_num': 5, 'bpsvd_den': 8}","{'ace_pct': 0.055999999999999994, 'df_pct': 0.067, 'first_in_pct': 0.618, 'first_won_pct': 0.545, 'second_won_pct': 0.588, 'bpsvd_pct': 0.6, 'bpsvd_num': 6, 'bpsvd_den': 10}",220.0,157.0,1.11,,player_profile_classic,player_profile_classic,"['Benjamin Hassan', 'Pavel Kotov']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Bernard Tomic,Coleman Wong,7-6(2) 6-3,1.1,0.042,0.0,0.7040000000000001,0.78,0.619,1.0,1.0,1.0,0.91,0.066,0.0,0.705,0.698,0.722,1.0,2.0,0.5,"{'ace_pct': 0.042, 'df_pct': 0.0, 'first_in_pct': 0.7040000000000001, 'first_won_pct': 0.78, 'second_won_pct': 0.619, 'bpsvd_pct': 1.0, 'bpsvd_num': 1, 'bpsvd_den': 1}","{'ace_pct': 0.066, 'df_pct': 0.0, 'first_in_pct': 0.705, 'first_won_pct': 0.698, 'second_won_pct': 0.722, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}",240.0,175.0,1.1,,player_profile_classic,player_profile_classic,"['Bernard Tomic', 'Coleman Wong']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Clement Tabur,Li Tu,3-6 6-3 7-5,1.29,0.08199999999999999,0.012,0.812,0.725,0.563,2.0,4.0,0.5,0.77,0.08900000000000001,0.01,0.812,0.61,0.579,5.0,8.0,0.625,"{'ace_pct': 0.08199999999999999, 'df_pct': 0.012, 'first_in_pct': 0.812, 'first_won_pct': 0.725, 'second_won_pct': 0.563, 'bpsvd_pct': 0.5, 'bpsvd_num': 2, 'bpsvd_den': 4}","{'ace_pct': 0.08900000000000001, 'df_pct': 0.01, 'first_in_pct': 0.812, 'first_won_pct': 0.61, 'second_won_pct': 0.579, 'bpsvd_pct': 0.625, 'bpsvd_num': 5, 'bpsvd_den': 8}",280.0,168.0,1.29,,player_profile_classic,player_profile_classic,"['Clement Tabur', 'Li Tu']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Daniel Elahi Galan,Omar Jasika,6-3 4-6 6-1,1.59,0.10800000000000001,0.0,0.581,0.7440000000000001,0.71,4.0,5.0,0.8,0.63,0.025,0.038,0.696,0.5820000000000001,0.542,8.0,12.0,0.6666666666666666,"{'ace_pct': 0.10800000000000001, 'df_pct': 0.0, 'first_in_pct': 0.581, 'first_won_pct': 0.7440000000000001, 'second_won_pct': 0.71, 'bpsvd_pct': 0.8, 'bpsvd_num': 4, 'bpsvd_den': 5}","{'ace_pct': 0.025, 'df_pct': 0.038, 'first_in_pct': 0.696, 'first_won_pct': 0.5820000000000001, 'second_won_pct': 0.542, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 8, 'bpsvd_den': 12}",122.0,206.0,1.59,,player_profile_classic,player_profile_classic,"['Daniel Elahi Galan', 'Omar Jasika']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Daniel Evans,Billy Harris,7-5 6-3,1.54,0.055999999999999994,0.037000000000000005,0.759,0.732,0.6920000000000001,1.0,2.0,0.5,0.65,0.039,0.026000000000000002,0.779,0.583,0.529,4.0,8.0,0.5,"{'ace_pct': 0.055999999999999994, 'df_pct': 0.037000000000000005, 'first_in_pct': 0.759, 'first_won_pct': 0.732, 'second_won_pct': 0.6920000000000001, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}","{'ace_pct': 0.039, 'df_pct': 0.026000000000000002, 'first_in_pct': 0.779, 'first_won_pct': 0.583, 'second_won_pct': 0.529, 'bpsvd_pct': 0.5, 'bpsvd_num': 4, 'bpsvd_den': 8}",213.0,102.0,1.54,,player_profile_classic,player_profile_classic,"['Daniel Evans', 'Billy Harris']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Dmitry Popko,Aziz Dougaz,7-6(4) 3-6 7-6(7),0.96,0.016,0.025,0.795,0.588,0.56,9.0,16.0,0.5625,1.04,0.047,0.019,0.71,0.7240000000000001,0.29,2.0,7.0,0.2857142857142857,"{'ace_pct': 0.016, 'df_pct': 0.025, 'first_in_pct': 0.795, 'first_won_pct': 0.588, 'second_won_pct': 0.56, 'bpsvd_pct': 0.5625, 'bpsvd_num': 9, 'bpsvd_den': 16}","{'ace_pct': 0.047, 'df_pct': 0.019, 'first_in_pct': 0.71, 'first_won_pct': 0.7240000000000001, 'second_won_pct': 0.29, 'bpsvd_pct': 0.2857142857142857, 'bpsvd_num': 2, 'bpsvd_den': 7}",164.0,222.0,0.96,,player_profile_classic,player_profile_classic,"['Dmitry Popko', 'Aziz Dougaz']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Eliot Spizzirri,Hugo Grenier,7-6(6) 4-6 7-6(6),1.05,0.01,0.03,0.61,0.705,0.513,2.0,6.0,0.3333333333333333,0.95,0.066,0.05,0.711,0.6859999999999999,0.429,10.0,13.0,0.7692307692307693,"{'ace_pct': 0.01, 'df_pct': 0.03, 'first_in_pct': 0.61, 'first_won_pct': 0.705, 'second_won_pct': 0.513, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}","{'ace_pct': 0.066, 'df_pct': 0.05, 'first_in_pct': 0.711, 'first_won_pct': 0.6859999999999999, 'second_won_pct': 0.429, 'bpsvd_pct': 0.7692307692307693, 'bpsvd_num': 10, 'bpsvd_den': 13}",116.0,176.0,1.05,,player_profile_classic,player_profile_classic,"['Eliot Spizzirri', 'Hugo Grenier']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,Q1,Elmer Moller,Facundo Bagnis,6-4 7-5,1.32,0.015,0.062,0.677,0.682,0.5710000000000001,1.0,3.0,0.3333333333333333,0.76,0.017,0.034,0.569,0.6970000000000001,0.32,1.0,5.0,0.2,"{'ace_pct': 0.015, 'df_pct': 0.062, 'first_in_pct': 0.677, 'first_won_pct': 0.682, 'second_won_pct': 0.5710000000000001, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 1, 'bpsvd_den': 3}","{'ace_pct': 0.017, 'df_pct': 0.034, 'first_in_pct': 0.569, 'first_won_pct': 0.6970000000000001, 'second_won_pct': 0.32, 'bpsvd_pct': 0.2, 'bpsvd_num': 1, 'bpsvd_den': 5}",112.0,717.0,1.32,,player_profile_classic,player_profile_classic,"['Elmer Moller', 'Facundo Bagnis']",,,,,,,,,,,,,,,,,,,,,
