tourney_name,surface,round,match_date,year,winner_name,loser_name,score,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players
US Open,Hard,F,2025-08-25,2025.0,Carlos Alcaraz,Jannik Sinner,6-2 3-6 6-1 6-4,True,2.0,1.0,Carlos Alcaraz,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CarlosAlcaraz,(ch),1.56,0.11199999999999999,0.0,0.607,0.833,0.5710000000000001,0.0,1.0,0.0,162.0,CARLOS ALCARAZ,JANNIK SINNER,6-2 3-6 6-1 6-4,2025|2025-08-25|US Open|F|CARLOS ALCARAZ|JANNIK SINNER|6-2 3-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Alexander Blockx,Joao Lucas Reis Da Silva,6-2 6-1,True,116.0,229.0,Alexander Blockx,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexanderBlockx,,2.1,0.11900000000000001,0.048,0.5,0.81,0.7140000000000001,0.0,0.0,,58.0,ALEXANDER BLOCKX,JOAO LUCAS REIS DA SILVA,6-2 6-1,2025|2025-08-25|US Open|Q1|ALEXANDER BLOCKX|JOAO LUCAS REIS DA SILVA|6-2 6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Andrea Collarini,Jan Choinski,7-6(4) 6-4,True,239.0,150.0,Andrea Collarini,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AndreaCollarini,,1.21,0.071,0.013999999999999999,0.6,0.667,0.607,3.0,6.0,0.5,108.0,ANDREA COLLARINI,JAN CHOINSKI,7-6(4) 6-4,2025|2025-08-25|US Open|Q1|ANDREA COLLARINI|JAN CHOINSKI|7-6(4) 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Andres Martin,Viktor Durasovic,6-2 6-3,True,280.0,241.0,Andres Martin,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AndresMartin,,1.73,0.061,0.061,0.5920000000000001,0.759,0.6,3.0,4.0,0.75,64.0,ANDRES MARTIN,VIKTOR DURASOVIC,6-2 6-3,2025|2025-08-25|US Open|Q1|ANDRES MARTIN|VIKTOR DURASOVIC|6-2 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Arthur Cazaux,Mark Lajal,6-4 6-1,,,,,,,,,,,,,,,,,,,,,1.7,0.17300000000000001,0.038,0.654,0.794,0.5,2.0,3.0,0.6666666666666666,0.59,0.024,0.14300000000000002,0.452,0.579,0.391,1.0,5.0,0.2,"{'ace_pct': 0.17300000000000001, 'df_pct': 0.038, 'first_in_pct': 0.654, 'first_won_pct': 0.794, 'second_won_pct': 0.5, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 2, 'bpsvd_den': 3}","{'ace_pct': 0.024, 'df_pct': 0.14300000000000002, 'first_in_pct': 0.452, 'first_won_pct': 0.579, 'second_won_pct': 0.391, 'bpsvd_pct': 0.2, 'bpsvd_num': 1, 'bpsvd_den': 5}",79.0,147.0,1.7,65.0,player_profile_classic,player_profile_classic,"['Arthur Cazaux', 'Mark Lajal']"
US Open,Hard,Q1,2025-08-25,2025.0,Beibit Zhukayev,Jack Pinnington Jones,3-6 7-6(6) 7-6(12),True,191.0,222.0,Beibit Zhukayev,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BeibitZhukayev,,0.95,0.11,0.081,0.544,0.757,0.40299999999999997,7.0,11.0,0.6363636363636364,213.0,BEIBIT ZHUKAYEV,JACK PINNINGTON JONES,3-6 7-6(6) 7-6(12),2025|2025-08-25|US Open|Q1|BEIBIT ZHUKAYEV|JACK PINNINGTON JONES|3-6 7-6(6) 7-6(12),,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Beibit Zhukayev,Pinnington Jones,3-6 7-6(6) 7-6(12),False,222.0,191.0,Jack Pinnington Jones,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JackPinningtonJones,,1.06,0.086,0.086,0.609,0.718,0.46,4.0,7.0,0.5714285714285714,213.0,BEIBIT ZHUKAYEV,PINNINGTON JONES,3-6 7-6(6) 7-6(12),2025|2025-08-25|US Open|Q1|BEIBIT ZHUKAYEV|PINNINGTON JONES|3-6 7-6(6) 7-6(12),,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Benjamin Hassan,Barrios Vera,6-2 7-6(3),False,134.0,200.0,Tomas Barrios Vera,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasBarriosVera,,0.74,0.027999999999999997,0.027999999999999997,0.708,0.529,0.524,6.0,10.0,0.6,88.0,BENJAMIN HASSAN,BARRIOS VERA,6-2 7-6(3),2025|2025-08-25|US Open|Q1|BENJAMIN HASSAN|BARRIOS VERA|6-2 7-6(3),,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Benjamin Hassan,Tomas Barrios Vera,6-2 7-6(3),True,200.0,134.0,Benjamin Hassan,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BenjaminHassan,,1.35,0.14300000000000002,0.095,0.49200000000000005,0.935,0.375,1.0,3.0,0.3333333333333333,88.0,BENJAMIN HASSAN,TOMAS BARRIOS VERA,6-2 7-6(3),2025|2025-08-25|US Open|Q1|BENJAMIN HASSAN|TOMAS BARRIOS VERA|6-2 7-6(3),,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Bernard Tomic,Patrick Kypson,6-4 6-4,,,,,,,,,,,,,,,,,,,,,1.7,0.214,0.0,0.625,0.8290000000000001,0.667,2.0,2.0,1.0,0.59,0.091,0.045,0.53,0.6859999999999999,0.516,2.0,4.0,0.5,"{'ace_pct': 0.214, 'df_pct': 0.0, 'first_in_pct': 0.625, 'first_won_pct': 0.8290000000000001, 'second_won_pct': 0.667, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.091, 'df_pct': 0.045, 'first_in_pct': 0.53, 'first_won_pct': 0.6859999999999999, 'second_won_pct': 0.516, 'bpsvd_pct': 0.5, 'bpsvd_num': 2, 'bpsvd_den': 4}",168.0,189.0,1.7,85.0,player_profile_classic,player_profile_classic,"['Bernard Tomic', 'Patrick Kypson']"
