match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players,year,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key
2025-06-30,Wimbledon,Grass,F,Jannik Sinner,Carlos Alcaraz,4-6 6-4 6-4 6-4,1.18,0.068,0.017,0.615,0.75,0.6,4.0,6.0,0.6666666666666666,0.85,0.124,0.057999999999999996,0.529,0.75,0.509,5.0,9.0,0.5555555555555556,"{'ace_pct': 0.068, 'df_pct': 0.017, 'first_in_pct': 0.615, 'first_won_pct': 0.75, 'second_won_pct': 0.6, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 4, 'bpsvd_den': 6}","{'ace_pct': 0.124, 'df_pct': 0.057999999999999996, 'first_in_pct': 0.529, 'first_won_pct': 0.75, 'second_won_pct': 0.509, 'bpsvd_pct': 0.5555555555555556, 'bpsvd_num': 5, 'bpsvd_den': 9}",1.0,2.0,1.18,184.0,player_profile_classic,player_profile_classic,"['Carlos Alcaraz', 'Jannik Sinner']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Adrian Mannarino,Andrea Collarini,6-4 6-2,1.33,0.106,0.045,0.636,0.762,0.41700000000000004,8.0,9.0,0.8888888888888888,0.75,0.034,0.0,0.7070000000000001,0.512,0.529,3.0,7.0,0.42857142857142855,"{'ace_pct': 0.106, 'df_pct': 0.045, 'first_in_pct': 0.636, 'first_won_pct': 0.762, 'second_won_pct': 0.41700000000000004, 'bpsvd_pct': 0.8888888888888888, 'bpsvd_num': 8, 'bpsvd_den': 9}","{'ace_pct': 0.034, 'df_pct': 0.0, 'first_in_pct': 0.7070000000000001, 'first_won_pct': 0.512, 'second_won_pct': 0.529, 'bpsvd_pct': 0.42857142857142855, 'bpsvd_num': 3, 'bpsvd_den': 7}",123.0,225.0,1.33,82.0,player_profile_classic,player_profile_classic,"['Adrian Mannarino', 'Andrea Collarini']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Alex Bolt,Harold Mayot,6-3 6-4,1.49,0.067,0.033,0.583,0.743,0.76,1.0,1.0,1.0,0.67,0.13699999999999998,0.039,0.608,0.677,0.55,3.0,5.0,0.6,"{'ace_pct': 0.067, 'df_pct': 0.033, 'first_in_pct': 0.583, 'first_won_pct': 0.743, 'second_won_pct': 0.76, 'bpsvd_pct': 1.0, 'bpsvd_num': 1, 'bpsvd_den': 1}","{'ace_pct': 0.13699999999999998, 'df_pct': 0.039, 'first_in_pct': 0.608, 'first_won_pct': 0.677, 'second_won_pct': 0.55, 'bpsvd_pct': 0.6, 'bpsvd_num': 3, 'bpsvd_den': 5}",179.0,184.0,1.49,75.0,player_profile_classic,player_profile_classic,"['Alex Bolt', 'Harold Mayot']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Alexander Blockx,Facundo Mena,7-5 6-1,1.75,0.075,0.038,0.642,0.882,0.526,5.0,5.0,1.0,0.57,0.071,0.054000000000000006,0.5710000000000001,0.594,0.542,3.0,7.0,0.42857142857142855,"{'ace_pct': 0.075, 'df_pct': 0.038, 'first_in_pct': 0.642, 'first_won_pct': 0.882, 'second_won_pct': 0.526, 'bpsvd_pct': 1.0, 'bpsvd_num': 5, 'bpsvd_den': 5}","{'ace_pct': 0.071, 'df_pct': 0.054000000000000006, 'first_in_pct': 0.5710000000000001, 'first_won_pct': 0.594, 'second_won_pct': 0.542, 'bpsvd_pct': 0.42857142857142855, 'bpsvd_num': 3, 'bpsvd_den': 7}",141.0,254.0,1.75,69.0,player_profile_classic,player_profile_classic,"['Alexander Blockx', 'Facundo Mena']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Alexis Galarneau,Murphy Cassone,6-4 2-6 6-4,1.15,0.0,0.024,0.695,0.649,0.56,7.0,11.0,0.6363636363636364,0.87,0.031,0.021,0.794,0.623,0.35,8.0,12.0,0.6666666666666666,"{'ace_pct': 0.0, 'df_pct': 0.024, 'first_in_pct': 0.695, 'first_won_pct': 0.649, 'second_won_pct': 0.56, 'bpsvd_pct': 0.6363636363636364, 'bpsvd_num': 7, 'bpsvd_den': 11}","{'ace_pct': 0.031, 'df_pct': 0.021, 'first_in_pct': 0.794, 'first_won_pct': 0.623, 'second_won_pct': 0.35, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 8, 'bpsvd_den': 12}",207.0,190.0,1.15,125.0,player_profile_classic,player_profile_classic,"['Alexis Galarneau', 'Murphy Cassone']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Arthur Bouquier,Alastair Gray,5-7 6-3 6-4,1.19,0.107,0.071,0.655,0.764,0.552,4.0,6.0,0.6666666666666666,0.84,0.092,0.023,0.632,0.7090000000000001,0.5,2.0,6.0,0.3333333333333333,"{'ace_pct': 0.107, 'df_pct': 0.071, 'first_in_pct': 0.655, 'first_won_pct': 0.764, 'second_won_pct': 0.552, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 4, 'bpsvd_den': 6}","{'ace_pct': 0.092, 'df_pct': 0.023, 'first_in_pct': 0.632, 'first_won_pct': 0.7090000000000001, 'second_won_pct': 0.5, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}",230.0,374.0,1.19,115.0,player_profile_classic,player_profile_classic,"['Arthur Bouquier', 'Alastair Gray']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Arthur Cazaux,Ignacio Buse,6-2 6-7(11) 6-1,1.46,0.061,0.037000000000000005,0.6709999999999999,0.818,0.444,1.0,2.0,0.5,0.69,0.03,0.03,0.626,0.629,0.43200000000000005,6.0,12.0,0.5,"{'ace_pct': 0.061, 'df_pct': 0.037000000000000005, 'first_in_pct': 0.6709999999999999, 'first_won_pct': 0.818, 'second_won_pct': 0.444, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}","{'ace_pct': 0.03, 'df_pct': 0.03, 'first_in_pct': 0.626, 'first_won_pct': 0.629, 'second_won_pct': 0.43200000000000005, 'bpsvd_pct': 0.5, 'bpsvd_num': 6, 'bpsvd_den': 12}",115.0,152.0,1.46,136.0,player_profile_classic,player_profile_classic,"['Arthur Cazaux', 'Ignacio Buse']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,August Holmgren,Giles Hussey,4-6 6-3 7-5,1.1,0.161,0.011000000000000001,0.621,0.722,0.545,1.0,4.0,0.25,0.91,0.049,0.012,0.598,0.6940000000000001,0.515,2.0,6.0,0.3333333333333333,"{'ace_pct': 0.161, 'df_pct': 0.011000000000000001, 'first_in_pct': 0.621, 'first_won_pct': 0.722, 'second_won_pct': 0.545, 'bpsvd_pct': 0.25, 'bpsvd_num': 1, 'bpsvd_den': 4}","{'ace_pct': 0.049, 'df_pct': 0.012, 'first_in_pct': 0.598, 'first_won_pct': 0.6940000000000001, 'second_won_pct': 0.515, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}",192.0,448.0,1.1,119.0,player_profile_classic,player_profile_classic,"['August Holmgren', 'Giles Hussey']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,Q1,Barrios Vera,James Story,6-0 6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,108.0,562.0,Tomas Barrios Vera,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasBarriosVera,,2.78,0.028999999999999998,0.0,0.7140000000000001,0.76,0.9,0.0,0.0,,56.0,BARRIOS VERA,JAMES STORY,6-0 6-2,2025|2025-06-30|Wimbledon|Q1|BARRIOS VERA|JAMES STORY|6-0 6-2
2025-06-30,Wimbledon,Grass,Q1,Beibit Zhukayev,Vitaliy Sachko,7-5 4-6 7-6(3),1.14,0.2,0.048,0.6859999999999999,0.764,0.515,3.0,6.0,0.5,0.88,0.047,0.009000000000000001,0.679,0.708,0.5,2.0,5.0,0.4,"{'ace_pct': 0.2, 'df_pct': 0.048, 'first_in_pct': 0.6859999999999999, 'first_won_pct': 0.764, 'second_won_pct': 0.515, 'bpsvd_pct': 0.5, 'bpsvd_num': 3, 'bpsvd_den': 6}","{'ace_pct': 0.047, 'df_pct': 0.009000000000000001, 'first_in_pct': 0.679, 'first_won_pct': 0.708, 'second_won_pct': 0.5, 'bpsvd_pct': 0.4, 'bpsvd_num': 2, 'bpsvd_den': 5}",247.0,210.0,1.14,144.0,player_profile_classic,player_profile_classic,"['Beibit Zhukayev', 'Vitaliy Sachko']",,,,,,,,,,,,,,,,,,,,,
