tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,1,,,,Nick Kyrgios,,,,,,,,Corentin Moutet,,,,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,2,,,,James Duckworth,,,,,,,,Diego Dedura Palomero,,,,,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,3,,,,Rinky Hijikata,,,,,,,,Tom Gentzsch,,,,,6-7(7) 7-6(2) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,4,,,,Gauthier Onclin,,,,,,,,Fabian Marozsan,,,,,7-6(6) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,5,,,,Jan Lennard Struff,,,,,,,,Alexis Galarneau,,,,,6-2 6-7(5) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,6,,,,Yannick Hanfmann,,,,,,,,Aleksandar Kovacevic,,,,,7-6(5) 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,7,,,,Martin Landaluce,,,,,,,,Pierre Hugues Herbert,,,,,5-7 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,8,,,,Pierre Hugues Herbert,,,,,,,,Mert Alkaya,,,,,7-6(7) 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,9,,,,Gauthier Onclin,,,,,,,,Marc Andrea Huesler,,,,,7-6(1) 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,10,,,,Mert Alkaya,,,,,,,,Michalis Sakellaridis,,,,,6-1 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,11,,,,Pierre Hugues Herbert,,,,,,,,Daniil Glinka,,,,,7-6(3) 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,12,,,,Sho Shimabukuro,,,,,,,,Stefanos Sakellaridis,,,,,7-5 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,13,,,,Jurij Rodionov,,,,,,,,Luca Castelnuovo,,,,,6-1 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,14,,,,Gauthier Onclin,,,,,,,,Orlando Luz,,,,,6-1 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,15,,,,Roman Safiullin,,,,,,,,Petr Bar Biryukov,,,,,6-7(8) 7-6(1) 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-stuttgart,Stuttgart,,,A,20260611,16,,,,Alexis Galarneau,,,,,,,,Yu Hsiou Hsu,,,,,4-6 6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,17,,,,Alex De Minaur,,,,,,,,Martin Damm,,,,,7-6(8) 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,18,,,,James Mccabe,,,,,,,,Zizou Bergs,,,,,6-7(2) 6-2 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,19,,,,Thijs Boogaard,,,,,,,,Yibing Wu,,,,,6-3 2-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,20,,,,Nuno Borges,,,,,,,,Terence Atmane,,,,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,21,,,,Zhizhen Zhang,,,,,,,,Jenson Brooksby,,,,,7-6(4) 5-7 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,22,,,,Adrian Mannarino,,,,,,,,Gabriel Diallo,,,,,6-4 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,23,,,,Ugo Humbert,,,,,,,,Elias Ymer,,,,,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,24,,,,Benjamin Bonzi,,,,,,,,Mees Rottgering,,,,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,25,,,,Martin Damm,,,,,,,,Jaume Munar,,,,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,26,,,,Benjamin Bonzi,,,,,,,,Bernard Tomic,,,,,6-7(5) 6-2 7-5,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,27,,,,James Mccabe,,,,,,,,Sander Jong,,,,,7-6(5) 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,28,,,,Elias Ymer,,,,,,,,Niels Visker,,,,,6-4 7-6(3),3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,29,,,,Bernard Tomic,,,,,,,,Alec Deckers,,,,,6-2 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,30,,,,James Mccabe,,,,,,,,Coleman Wong,,,,,3-6 6-4 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,31,,,,Sander Jong,,,,,,,,Shintaro Mochizuki,,,,,4-6 6-3 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,32,,,,Martin Damm,,,,,,,,Max Houkes,,,,,4-6 6-3 7-6(4),3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,33,,,,Juan Pablo Ficovich,,,,,,,,Thijmen Loof,,,,,7-6(3) 4-6 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,34,,,,Niels Visker,,,,,,,,Mackenzie Mcdonald,,,,,7-6(7) 7-5,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2026-SUPP-s-hertogenbosch,'s-Hertogenbosch,,,A,20260611,35,,,,Elias Ymer,,,,,,,,Mac Visser,,,,,6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
