tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit,profit_metric,odds_bucket,probability_bucket,edge_bucket,clv_bucket,cluster
2018-12-31,2019-01-01,Doha,R32,Hard,3,Pierre Hugues Herbert,Dominic Thiem,player2,top_10,0.3839362145109013,3.75,3.77,B365W/B365L,AvgW/AvgL,200.0,3.695,-0.0053050397877983,0.25,1.0666666666666669,0.1339362145109013,0.4397608044158798,0.4186443126177803,0.0399782549468981,,True,True,1.0,2.75,2.695,2.695,3-5,25-40%,10%+,-5-0%,1
2018-12-31,2019-01-01,Doha,R32,Hard,3,Damir Dzumhur,Novak Djokovic,player2,top_10,0.1185597029463446,11.0,12.85,B365W/B365L,AvgW/AvgL,200.0,10.8,-0.1439688715953306,0.0871369294605809,1.0432900432900432,0.0314227734857637,0.3041567324097912,0.2804447918205223,0.0076039183102447,,True,False,1.0,-1.0,-1.0,-1.0,10+,0-25%,3-5%,<-5%,2
2018-12-31,2019-01-02,Pune,R16,Hard,3,Kevin Anderson,Laslo Djere,player2,top_10,0.8745819915878583,1.25,1.32,B365W/B365L,AvgW/AvgL,200.0,1.245,-0.053030303030303,0.75,1.0666666666666669,0.1245819915878583,0.0932274894848229,0.0888545795268836,0.0932274894848229,,True,True,1.0,0.25,0.2450000000000001,0.2450000000000001,1-1.5,75-100%,10%+,<-5%,4
2018-12-31,2019-01-02,Brisbane,R16,Hard,3,Denis Kudla,Kei Nishikori,player2,top_10,0.2670259796682126,5.0,5.17,B365W/B365L,AvgW/AvgL,200.0,4.92,-0.0328820116054158,0.1883116883116883,1.0620689655172415,0.0787142913565243,0.3351298983410631,0.3137678199676061,0.0209456186463164,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,7.5-10%,-5-0%,0
2018-12-31,2019-01-03,Brisbane,QF,Hard,3,Grigor Dimitrov,Kei Nishikori,player2,top_10,0.5007591873557637,2.3,2.26,B365W/B365L,AvgW/AvgL,200.0,2.274,0.0176991150442478,0.411764705882353,1.0559006211180124,0.0889944814734107,0.1517461309182565,0.1387263920470067,0.0291819482535108,,True,False,1.0,-1.0,-1.0,-1.0,2-3,50-60%,7.5-10%,0-2.5%,3
2018-12-31,2019-01-04,Doha,SF,Hard,3,Roberto Bautista Agut,Novak Djokovic,player2,top_10,0.2144838288822134,5.0,4.95,B365W/B365L,AvgW/AvgL,200.0,4.92,0.0101010101010101,0.1883116883116883,1.0620689655172415,0.0261721405705251,0.072419144411067,0.0552604381004899,0.0045261965256916,,True,True,1.0,4.0,3.92,3.92,3-5,0-25%,<=3%,0-2.5%,0
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player2,top_10,0.4842518046824866,2.37,2.36,B365W/B365L,AvgW/AvgL,200.0,2.3426,0.0042372881355932,0.398477157360406,1.058883603429278,0.0857746473220806,0.1476767770974933,0.1344082776491931,0.0269483169885936,,True,False,1.0,-1.0,-1.0,-1.0,2-3,40-50%,7.5-10%,0-2.5%,0
2019-01-07,2019-01-08,Auckland,R16,Hard,3,Taylor Fritz,John Isner,player1,top_10,0.4385733378180537,2.37,2.4,B365W/B365L,AvgW/AvgL,200.0,2.3426,-0.0124999999999999,0.3923076923076922,1.0755356995118723,0.0462656455103614,0.0394188106287872,0.0274019011725725,0.0071932136183918,,True,True,1.0,1.37,1.3426,1.3426,2-3,40-50%,3-5%,-5-0%,0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1636695901770869,6.5,7.07,B365W/B365L,AvgW/AvgL,200.0,6.39,-0.0806223479490806,0.1458607095926412,1.0547470547470548,0.0178088805844456,0.0638523361510648,0.0458486812315852,0.0029023789159574,,True,False,1.0,-1.0,-1.0,-1.0,5-10,0-25%,<=3%,<-5%,0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,John Isner,Reilly Opelka,player1,top_10,0.8483397340956729,1.5,1.46,B365W/B365L,AvgW/AvgL,200.0,1.49,0.0273972602739727,0.6359223300970874,1.0483460559796436,0.2124174039985854,0.2725096011435093,0.2640262038025526,0.1362548005717546,,True,False,1.0,-1.0,-1.0,-1.0,1-1.5,75-100%,10%+,2.5-5%,4
