test_year,model_type,accuracy,precision,recall,f1_score,log_loss,brier_score
2019,top_10,0.738430583501006,0.738430583501006,0.738430583501006,0.738430583501006,0.5340567990918447,0.17841571564001946
2019,other,0.6419113413932067,0.6417355225501054,0.6419113413932067,0.64167947598321,0.6326659734959494,0.22118727998139853
2020,top_10,0.7977941176470589,0.7983607378707487,0.7977941176470589,0.7978077833460946,0.4583611794720047,0.146476368718067
2020,other,0.6529933481152993,0.6530308277598623,0.6529933481152993,0.6530048649127358,0.6184725586985887,0.21481731483993396
2021,top_10,0.7935483870967742,0.7936504484004819,0.7935483870967742,0.7935847301706092,0.4755580014622058,0.1528077119109262
2021,other,0.6617647058823529,0.6617483545229274,0.6617647058823529,0.6617316794087735,0.6254219718575551,0.21778264175420586
2022,top_10,0.7523452157598499,0.7558840128738998,0.7523452157598499,0.7520277096262087,0.5107612856268283,0.16860249395830426
2022,other,0.6436081903707803,0.6436552768303833,0.6436081903707803,0.6434541890555721,0.6193417464883433,0.2153531580273113
2023,top_10,0.7474402730375427,0.747714927885757,0.7474402730375427,0.747263552800365,0.5242024280870683,0.17363559222790068
2023,other,0.6330669944683467,0.6334756161293025,0.6330669944683467,0.6330969361317341,0.6306348106309954,0.22081821506060928
2024,top_10,0.7854785478547854,0.7854909225185966,0.7854785478547854,0.7854504975848178,0.4793474342765172,0.1542460564809133
2024,other,0.6335540838852097,0.633994328118851,0.6335540838852097,0.6333289621551628,0.6357987897116716,0.22293509580013557
2025,top_10,0.7635379061371841,0.7643590285326057,0.7635379061371841,0.7633875864655876,0.5065873805095237,0.16617552861872936
2025,other,0.6313043478260869,0.6318138881067062,0.6313043478260869,0.631252553312415,0.6444414478457463,0.2263564715087275
2026,top_10,0.775609756097561,0.7802621498516528,0.775609756097561,0.7760912343054387,0.48732051359781237,0.15955981650949966
2026,other,0.6549391069012178,0.654974196840691,0.6549391069012178,0.6548594665247367,0.6136710077633496,0.21261442655178892
