tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit,year
2019-02-04,Cordoba,R32,Clay,3,Jaume Munar,Guido Andreozzi,player2,other,0.6668249489169922,1.55,0.6115288220551378,0.05529612686185437,0.03357867082133792,True,1,0.55,2019
2019-02-04,Cordoba,R32,Clay,3,Lorenzo Sonego,Pablo Andujar,player1,other,0.5361034161692626,2.13,0.443864229765013,0.0922391864042496,0.14190027644052927,True,1,1.13,2019
2019-02-04,Cordoba,R32,Clay,3,Aljaz Bedene,Maximilian Marterer,player2,other,0.5707723103864765,1.95,0.4854881266490765,0.08528418373739999,0.11300600525362914,True,1,0.95,2019
2019-02-04,Cordoba,R16,Clay,3,Jaume Munar,Marco Cecchinato,player1,other,0.5292851081809639,1.98,0.4803149606299213,0.048970147551042564,0.0479845141983084,True,1,0.98,2019
2019-02-04,Cordoba,R16,Clay,3,Alessandro Giannessi,Diego Schwartzman,player2,other,0.1778277267383719,7.99,0.1190738699007717,0.058753856837600205,0.4208435366395915,False,1,-1.0,2019
2019-02-04,Cordoba,R16,Clay,3,Aljaz Bedene,Fabio Fognini,player2,other,0.4199620723524003,2.63,0.3616504854368932,0.058311586915507085,0.10450025028681265,True,1,1.63,2019
2019-02-11,Buenos Aires,R32,Clay,3,Federico Delbonis,Jaume Munar,player1,other,0.5865305400274009,1.84,0.5170603674540682,0.06947017257333266,0.07921619365041771,False,1,-1.0,2019
2019-02-11,Buenos Aires,R32,Clay,3,Taro Daniel,Roberto Carballes Baena,player1,other,0.5081373539964785,2.16,0.4389610389610389,0.06917631503543964,0.09757668463239366,False,1,-1.0,2019
2019-02-11,Buenos Aires,R32,Clay,3,Nicolas Jarry,Lorenzo Sonego,player1,other,0.6691017160142433,1.6,0.5939086294416244,0.07519308657261892,0.0705627456227893,False,1,-1.0,2019
2019-02-11,Buenos Aires,R32,Clay,3,Aljaz Bedene,Guido Andreozzi,player1,other,0.7349170021297967,1.41,0.674364896073903,0.06055210605589367,0.036232973003013313,True,1,0.4099999999999999,2019
2019-02-11,Buenos Aires,R16,Clay,3,Fabio Fognini,Jaume Munar,player2,other,0.5925271736844456,1.77,0.5366492146596858,0.05587795902475978,0.04877309742146879,False,1,-1.0,2019
2019-02-11,Buenos Aires,R16,Clay,3,Guido Pella,Leonardo Mayer,player1,other,0.5963371810803525,1.89,0.5039370078740157,0.09240017320633676,0.12707727224186616,True,1,0.8899999999999999,2019
2019-02-11,Buenos Aires,R16,Clay,3,Roberto Carballes Baena,Lorenzo Sonego,player1,other,0.5818697752141512,1.87,0.5078947368421052,0.073975038372046,0.08809647965046274,True,1,0.8700000000000001,2019
2019-02-11,Buenos Aires,QF,Clay,3,Roberto Carballes Baena,Marco Cecchinato,player1,other,0.4391727301527783,2.54,0.3743842364532019,0.0647884936995764,0.11549873458805693,False,1,-1.0,2019
2019-02-18,Rio de Janeiro,R32,Clay,3,Fabio Fognini,Felix Auger Aliassime,player2,other,0.7063603122884413,1.5,0.6341463414634148,0.07221397082502656,0.059540468432661975,False,1,-1.0,2019
2019-02-18,Rio de Janeiro,R32,Clay,3,Jaume Munar,Leonardo Mayer,player1,other,0.583072544195387,1.8,0.5287958115183247,0.054276732677062345,0.04953057955169665,True,1,0.8,2019
2019-02-18,Rio de Janeiro,R32,Clay,3,Roberto Carballes Baena,Nicolas Jarry,player1,other,0.5045369944517476,2.1,0.4531249999999999,0.05141199445174771,0.05952768834867006,True,1,1.1,2019
2019-02-18,Rio de Janeiro,R32,Clay,3,Aljaz Bedene,Marco Cecchinato,player1,other,0.4767064662361056,2.32,0.4096692111959288,0.06703725504017677,0.10595900166776484,True,1,1.3199999999999998,2019
2019-02-18,Rio de Janeiro,R16,Clay,3,Roberto Carballes Baena,Hugo Dellien,player1,other,0.7332222573324284,1.49,0.637469586374696,0.09575267095773243,0.09250116342531833,False,1,-1.0,2019
2019-02-18,Rio de Janeiro,R16,Clay,3,Casper Ruud,Joao Sousa,player1,other,0.5249358949222396,2.14,0.4441558441558441,0.0807800507663955,0.12336281513359271,True,1,1.1400000000000001,2019
2019-02-18,Rio de Janeiro,R16,Clay,3,Taro Daniel,Laslo Djere,player1,other,0.4226552958864893,2.48,0.3830845771144278,0.03957071877206153,0.04818513379849354,False,1,-1.0,2019
2019-02-18,Rio de Janeiro,QF,Clay,3,Laslo Djere,Casper Ruud,player1,other,0.6146134012154826,1.72,0.5532467532467532,0.06136664796872937,0.057135050090630024,True,1,0.72,2019
2019-02-18,Rio de Janeiro,SF,Clay,3,Felix Auger Aliassime,Pablo Cuevas,player1,other,0.4925414632764699,2.24,0.4256410256410255,0.0669004376354444,0.10329287773929274,True,1,1.2400000000000002,2019
2019-02-25,Sao Paulo,R32,Clay,3,Felix Auger Aliassime,Pablo Cuevas,player1,other,0.4955969623543959,2.56,0.3694581280788178,0.1261388342755781,0.26872822362725346,True,1,1.56,2019
2019-02-25,Sao Paulo,R32,Clay,3,Roberto Carballes Baena,Maximilian Marterer,player2,other,0.5007821377076881,2.08,0.4569190600522194,0.04386307765546871,0.041626846431991216,True,1,1.08,2019
2019-02-25,Sao Paulo,R32,Clay,3,Marco Trungelliti,Taro Daniel,player1,other,0.4461347803249151,2.31,0.4107142857142857,0.035420494610629405,0.030571342550553937,True,1,1.31,2019
2019-02-25,Sao Paulo,R16,Clay,3,Jaume Munar,Cristian Garin,player1,other,0.6135850478176351,1.7,0.5584415584415584,0.055143489376076715,0.04309458128997967,False,1,-1.0,2019
