test_year,model_type,accuracy,precision,recall,f1_score,log_loss,brier_score
2019,top_10,0.7520833333333333,0.7520833333333333,0.7520833333333333,0.7520833333333333,0.5175985905041461,0.17274856129714608
2019,other,0.6313506815365552,0.6313506815365552,0.6313506815365552,0.6313506815365552,0.6290834531651124,0.22018058970301096
2020,top_10,0.7907949790794979,0.7907949790794979,0.7907949790794979,0.7907949790794979,0.4758278402516876,0.1512618626920083
2020,other,0.6772068511198946,0.6772068511198946,0.6772068511198946,0.6772068511198946,0.6045250134453066,0.20907771967965358
2021,top_10,0.7704081632653061,0.7704081632653061,0.7704081632653061,0.7704081632653061,0.48503519676212214,0.1584642909135954
2021,other,0.6563786008230452,0.6563786008230452,0.6563786008230452,0.6563786008230452,0.6258376384346606,0.21791878484436952
2022,top_10,0.7639751552795031,0.7639751552795031,0.7639751552795031,0.7639751552795031,0.4970867939534579,0.16398733006184252
2022,other,0.6550652579241765,0.6550652579241765,0.6550652579241765,0.6550652579241765,0.614733327145355,0.21312134061732516
2023,top_10,0.7481617647058824,0.7481617647058824,0.7481617647058824,0.7481617647058824,0.5056999931377865,0.16812460029501433
2023,other,0.6381435823060189,0.6381435823060189,0.6381435823060189,0.6381435823060189,0.6179257605156231,0.21569554738713667
2024,top_10,0.7740667976424361,0.7740667976424361,0.7740667976424361,0.7740667976424361,0.4992903443435718,0.16271741934895823
2024,other,0.6501340482573726,0.6501340482573726,0.6501340482573726,0.6501340482573726,0.6232539845069789,0.21748662510295316
2025,top_10,0.7423664122137404,0.7423664122137404,0.7423664122137404,0.7423664122137404,0.510211518305865,0.17006004591407484
2025,other,0.638683680322364,0.638683680322364,0.638683680322364,0.638683680322364,0.6413873147576992,0.22517030363020987
2026,top_10,0.7912087912087912,0.7912087912087912,0.7912087912087912,0.7912087912087912,0.4761324482168763,0.15543577359244257
2026,other,0.6779935275080906,0.6779935275080906,0.6779935275080906,0.6779935275080906,0.6058201390936305,0.20901170141187644
