bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,probability_bucket,min_probability,max_probability
27,0,0.0,27.0,-27.0,-1.0,-27.0,12.716666666666665,0.10818008727440213,0.025457805946321233,-0.3010170199943527,0.0,0,0.05368511685420082,0.14602976701217174
53,11,0.20754716981132076,53.0,20.700000000000003,0.39056603773584914,-18.0,7.095660377358492,0.19677100231146638,0.046946140203624434,-0.17569617644670762,0.0,1,0.1470710255906026,0.23752322176963497
60,19,0.31666666666666665,60.0,30.869999999999997,0.5145,-12.0,4.749166666666667,0.28190178828636747,0.06163524433885735,0.10622703807617452,0.016666666666666666,2,0.24102684442319633,0.3287201767563964
77,26,0.33766233766233766,77.0,2.420000000000002,0.03142857142857146,-19.91,3.1454545454545455,0.38332820330015116,0.0727942340153047,-0.08976039060432528,0.0,3,0.33219556517007487,0.424171603055038
57,23,0.40350877192982454,57.0,-1.7300000000000022,-0.030350877192982496,-9.75,2.496491228070175,0.4709530259903158,0.08236182554289116,-0.07156258661315279,0.0,4,0.42807900264781096,0.5145802325366664
28,12,0.42857142857142855,28.0,-3.1799999999999997,-0.11357142857142856,-6.27,2.0382142857142855,0.5655613680075254,0.09053507896137047,-0.0633933158240337,0.0,5,0.5247159324449963,0.6043865462432453
44,23,0.5227272727272727,44.0,-4.75,-0.10795454545454546,-8.75,1.7149999999999999,0.6622621011792125,0.10286069978316745,-0.04914260538584425,0.0,6,0.611164276892953,0.6992701199990445
42,26,0.6190476190476191,42.0,-3.5800000000000005,-0.08523809523809525,-6.779999999999999,1.4933333333333334,0.7417581482769425,0.10098917763006329,-0.041302457643636895,0.0,7,0.7026998005455098,0.7872609244218864
43,32,0.7441860465116279,43.0,-1.5599999999999992,-0.03627906976744184,-4.5600000000000005,1.2972093023255815,0.8432167104108204,0.10835801022764785,-0.03522174038699,0.0,8,0.7983955812488746,0.8842041713231895
52,44,0.8461538461538461,52.0,-1.229999999999999,-0.023653846153846136,-3.28,1.1751923076923079,0.9386590239266647,0.12195985249799524,-0.031683574939833425,0.0,9,0.8883172840097373,0.98
