side,bucket,bets,average_probability,actual_win_rate,average_market_probability,average_residual_edge,ece_component
player1,0,97,0.0604204617575082,0.07216494845360824,0.10011581589960931,-0.039695354142101125,0.00036843958910792507
player1,1,166,0.1703888847219787,0.21084337349397592,0.18194457750134294,-0.011555692779364203,0.0021718774696479755
player1,2,285,0.26286555365843123,0.26666666666666666,0.26508915072088995,-0.002223597062458762,0.000350361321910446
player1,3,521,0.35950955317288796,0.3570057581573896,0.3541685366026756,0.005341016570212329,0.00042188784058041503
player1,4,470,0.44844749353470564,0.46382978723404256,0.4395043844500827,0.008943109084622885,0.0023381882401967494
player1,5,489,0.5516577352651637,0.5480572597137015,0.5481662993189677,0.003491435946196037,0.0005694154413535069
player1,6,436,0.6418870269576015,0.6307339449541285,0.6403423825683513,0.001544644389250075,0.001572685560644961
player1,7,342,0.7364194770793604,0.7865497076023392,0.7301231531679082,0.006296323911452294,0.005544805575310077
player1,8,187,0.8300923193936837,0.8663101604278075,0.8076445165421562,0.022447802851527372,0.002190406297988732
player1,9,99,0.9311967629523444,0.9292929292929293,0.8906585496043958,0.040538213347948576,6.0957157917884985e-05
player2,0,99,0.06880323704765572,0.0707070707070707,0.10934145039560429,-0.040538213347948604,6.095715791787965e-05
player2,1,187,0.16990768060631636,0.13368983957219252,0.1923554834578437,-0.022447802851527348,0.002190406297988732
player2,2,342,0.2635805229206396,0.2134502923976608,0.2698768468320919,-0.006296323911452288,0.005544805575310074
player2,3,436,0.3581129730423986,0.36926605504587157,0.35965761743164865,-0.0015446443892500603,0.001572685560644961
player2,4,489,0.4483422647348363,0.45194274028629855,0.45183370068103224,-0.003491435946196006,0.0005694154413535069
player2,5,470,0.5515525064652944,0.5361702127659574,0.5604956155499172,-0.008943109084622845,0.0023381882401967576
player2,6,521,0.6404904468271121,0.6429942418426103,0.6458314633973242,-0.005341016570212305,0.0004218878405803963
player2,7,285,0.7371344463415688,0.7333333333333333,0.7349108492791101,0.002223597062458759,0.00035036132191045114
player2,8,166,0.8296111152780212,0.7891566265060241,0.8180554224986569,0.011555692779364229,0.002171877469647968
player2,9,97,0.9395795382424919,0.9278350515463918,0.8998841841003908,0.03969535414210112,0.0003684395891079257
