bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,probability_bucket,min_probability,max_probability
31,1,0.03225806451612903,31.0,-20.0,-0.6451612903225806,-26.0,16.258064516129032,0.09352150186822611,0.025018063218655434,0.09152411497354902,0.8064516129032258,0,0.030709324364486923,0.12406949824248946
50,7,0.14,50.0,6.5,0.13,-13.0,8.03,0.1735367595236201,0.042690668660017576,0.0006523964568354801,0.52,1,0.12610254658545805,0.22039254990616164
60,13,0.21666666666666667,60.0,-4.02,-0.06699999999999999,-17.25,4.799,0.2615973910702464,0.05809230709688366,-0.01985374586377142,0.35,2,0.22059149973656203,0.31449569509939257
64,18,0.28125,64.0,2.17,0.03390625,-11.05,3.559375,0.3627539615226908,0.08978496530119393,-0.017302268154529662,0.40625,3,0.3174175912257485,0.405774556015049
56,17,0.30357142857142855,56.0,-10.17,-0.18160714285714286,-14.23,2.8317857142857146,0.4509868459226106,0.1046481549500855,-0.009532797703252424,0.39285714285714285,4,0.4114842811771885,0.5030770845431568
28,15,0.5357142857142857,28.0,4.8199999999999985,0.1721428571428571,-2.2,2.275357142857143,0.5457430493867539,0.12013887684003866,-0.0064960195888897265,0.42857142857142855,5,0.5081223887133854,0.5870460637627997
28,20,0.7142857142857143,28.0,6.489999999999999,0.23178571428571426,-2.0,1.7382142857142857,0.6560396276259656,0.10902486052903367,-0.007845725824025639,0.39285714285714285,6,0.6016492944709725,0.6941862121697782
34,22,0.6470588235294118,34.0,0.10999999999999965,0.0032352941176470485,-4.829999999999998,1.5688235294117645,0.7399434725114835,0.12853508307487235,0.0008831963283662439,0.5,7,0.6957236291544524,0.7882111930422513
40,29,0.725,40.0,-1.33,-0.03325,-3.5900000000000007,1.3395,0.8335362073645968,0.12361042679807621,-0.003606304565469928,0.35,8,0.7905513420815987,0.8811101998322786
36,31,0.8611111111111112,36.0,8.881784197001252e-16,2.4671622769447922e-17,-2.15,1.1594444444444445,0.9450829922933058,0.12307522384858381,-0.0009629248796026724,0.2777777777777778,9,0.886630576522186,0.98
