bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
15,6,0.4,15.0,159.97000000000003,10.664666666666669,156.59060000000002,10.439373333333334,-3.0,16.287333333333336,0.27314697672983956,0.05313796104016143,0.0,0.0,0.01461288113772608,0.1,other,,True,Clay,
23,8,0.34782608695652173,23.0,169.23000000000002,7.357826086956522,165.54540000000003,7.197626086956523,-4.189999999999998,13.88782608695652,0.23661464230394866,0.048065138820259465,0.0,0.0,0.012898681973352378,0.1,other,,False,Clay,
32,10,0.3125,32.0,154.03,4.8134375,150.5094,4.70341875,-5.699999999999989,9.446875,0.326926826088493,0.05036198955704855,0.0,0.0,0.013756343966433436,0.075,other,,True,Clay,
51,14,0.27450980392156865,51.0,157.50000000000003,3.0882352941176476,153.61,3.0119607843137257,-11.34,8.712549019607843,0.28959010097745436,0.044764889992170306,0.0,0.0,0.011918788305742969,0.075,other,,False,Clay,
60,18,0.3,60.0,143.44000000000005,2.3906666666666676,139.73119999999997,2.328853333333333,-11.59,6.2683333333333335,0.383957158473044,0.049334517756758595,0.0,0.0,0.013095730285110931,0.05,other,,True,Clay,
66,16,0.24242424242424243,66.0,151.85999999999999,2.300909090909091,147.82280000000003,2.2397393939393946,-15.47999999999999,7.24409090909091,0.32903302624856606,0.06771278086673098,0.0,0.0,0.021009038685943775,0.1,,,True,Clay,
70,13,0.18571428571428572,70.0,124.38,1.7768571428571427,120.75240000000002,1.725034285714286,-25.460000000000008,7.2107142857142845,0.3103048870439333,0.053970821418107294,0.0,0.0,0.015182240626841285,0.1,other,,True,,
102,28,0.27450980392156865,102.0,160.64999999999998,1.5749999999999997,155.95700000000002,1.5289901960784316,-21.549999999999983,5.911470588235293,0.3508935135095031,0.06143310887982294,0.0,0.0,0.018745028962635635,0.075,,,True,Clay,
91,26,0.2857142857142857,91.0,142.17,1.5623076923076922,138.0266,1.5167758241758242,-20.31,6.082087912087912,0.3567721573978333,0.04479988524939185,0.0,0.0,0.01217085998867136,0.05,other,,False,Clay,
100,23,0.23,100.0,149.65,1.4965000000000002,145.11700000000002,1.4511700000000003,-19.8,9.5659,0.27323684396139586,0.05668594007901207,0.0,0.0,0.01726938176025002,0.1,,,False,Clay,
100,36,0.36,100.0,143.02,1.4302000000000001,138.87960000000004,1.3887960000000004,-14.339999999999947,4.877700000000001,0.39726523699664035,0.04441807469727459,0.0,0.0,0.010828533687551828,0.03,other,,True,Clay,
3,3,1.0,3.0,3.92,1.3066666666666666,3.8415999999999997,1.2805333333333333,0.0,2.3066666666666666,0.5191611428563491,0.09573214042474532,0.0,0.0,0.034441886113483845,0.1,top_10,3.0,True,Grass,
140,58,0.4142857142857143,140.0,155.89000000000001,1.1135000000000002,151.13219999999998,1.0795157142857141,-9.20999999999998,4.172000000000001,0.4163879166767841,0.0415901250471801,0.0,0.0,0.0093955591932754,0.02,other,,True,Clay,
115,28,0.24347826086956523,115.0,122.82,1.0679999999999998,118.62360000000001,1.0315095652173913,-24.930000000000035,5.660521739130435,0.33693296900215686,0.051743322641725834,0.0,0.0,0.014187340181124882,0.075,other,,True,,
153,49,0.3202614379084967,153.0,155.57999999999996,1.016862745098039,150.38840000000002,0.9829307189542484,-21.03999999999988,4.806339869281046,0.3954150243067953,0.058049752789753786,0.0,0.0,0.01808255052707042,0.05,,,True,Clay,
142,46,0.323943661971831,142.0,140.94,0.9925352112676056,136.20120000000003,0.9591633802816903,-20.739999999999952,5.08161971830986,0.3664408704420347,0.04084184834353812,0.0,0.0,0.010188628948643424,0.03,other,,False,Clay,
152,38,0.25,152.0,150.44,0.9897368421052631,145.15120000000002,0.954942105263158,-26.049999999999955,7.655921052631579,0.3058305636987498,0.05319184500128388,0.0,0.0,0.016171588628736727,0.075,,,False,Clay,
12,5,0.4166666666666667,12.0,11.2,0.9333333333333332,10.836,0.903,-3.0,5.866666666666666,0.26345898702313036,0.0464756930725199,0.0,0.0,0.012706058370117871,0.1,other,10.0,False,Grass,
6,5,0.8333333333333334,6.0,5.459999999999999,0.9099999999999998,5.3308,0.8884666666666666,-1.0,2.3266666666666667,0.5042479702292334,0.09003132565581916,0.0,0.0,0.03071819458482547,0.1,,3.0,True,Grass,
202,89,0.4405940594059406,202.0,174.32999999999998,0.8630198019801979,168.58340000000004,0.8345712871287131,-12.0,3.7061881188118817,0.4168491266293726,0.03741230183896497,0.0,0.0,0.0074804789185024005,0.01,other,,True,Clay,
5,4,0.8,5.0,4.24,0.8480000000000001,4.1352,0.82704,-1.0,2.3480000000000003,0.4809118652217819,0.07572536746048303,0.0,0.0,0.023454843253826737,0.075,other,3.0,True,Grass,
10,8,0.8,10.0,8.44,0.844,8.2312,0.82312,-1.0,2.361,0.48450561436410283,0.07783283934436466,0.0,0.0,0.02500561626386592,0.075,,3.0,True,Grass,
5,4,0.8,5.0,4.199999999999999,0.8399999999999999,4.095999999999999,0.8191999999999998,-1.0,2.3739999999999997,0.4880993635064238,0.07994031122824632,0.0,0.0,0.026556389273905107,0.075,top_10,3.0,True,Grass,
188,70,0.3723404255319149,188.0,152.35,0.8103723404255319,146.943,0.7816117021276596,-17.16,4.450797872340425,0.38720173787755263,0.039049956666438276,0.0,0.0,0.009059541748715084,0.02,other,,False,Clay,
6,4,0.6666666666666666,6.0,4.630000000000001,0.7716666666666668,4.497399999999999,0.7495666666666665,-1.0,2.5116666666666667,0.5384372893572941,0.061786335749634054,0.0,0.0,0.05914595971142555,0.1,other,3.0,True,Clay,
131,18,0.13740458015267176,131.0,99.3,0.7580152671755725,95.054,0.7256030534351146,-46.55000000000001,8.198244274809161,0.24260448050959593,0.04511988339799691,0.0,0.0,0.01209571652498337,0.1,other,,False,,
16,7,0.4375,16.0,11.9,0.74375,11.482,0.717625,-3.0,5.2162500000000005,0.28882259977596236,0.046828419775703706,0.0,0.0,0.012642607247531511,0.075,other,10.0,False,Grass,
10,7,0.7,10.0,6.389999999999999,0.6389999999999999,6.202199999999999,0.6202199999999999,-2.0,2.395,0.4639912301654701,0.06340675282060483,0.0,0.0,0.0186277045941948,0.05,top_10,3.0,True,Grass,
224,79,0.35267857142857145,224.0,144.68,0.6458928571428572,138.8864,0.6200285714285715,-29.649999999999864,4.269776785714286,0.41380621952049973,0.05231822388272497,0.0,0.0,0.016259533605654464,0.03,,,True,Clay,
261,103,0.3946360153256705,261.0,165.33999999999997,0.6334865900383141,158.8732,0.6087095785440613,-15.5,3.998659003831417,0.3934417559056345,0.03570534352671043,0.0,0.0,0.0073646145567715674,0.01,other,,False,Clay,
224,64,0.2857142857142857,224.0,133.76999999999998,0.5971874999999999,127.89460000000003,0.5709580357142858,-30.34999999999991,6.493928571428571,0.3467314266735613,0.050355097415097014,0.0,0.0,0.015599365529746565,0.05,,,False,Clay,
247,67,0.27125506072874495,247.0,146.52000000000004,0.5931983805668017,139.98960000000005,0.5667595141700407,-31.769999999999982,5.470647773279352,0.33430656431197964,0.06451715398074613,0.0,0.0,0.020094830712100827,0.1,,,True,,
283,110,0.38869257950530034,283.0,160.81000000000003,0.5682332155477033,154.1338,0.5446424028268552,-17.95999999999998,3.9592932862190815,0.4227227863627907,0.04848650224355769,0.0,0.0,0.014317223859488241,0.02,,,True,Clay,
9,5,0.5555555555555556,9.0,4.97,0.5522222222222222,4.7905999999999995,0.5322888888888888,-2.0,2.898888888888889,0.4660000611849602,0.05984557742172293,0.0,0.0,0.04420466575317951,0.1,other,5.0,True,Clay,
6,4,0.6666666666666666,6.0,3.24,0.54,3.1352,0.5225333333333334,-2.0,2.4333333333333336,0.46503560632543534,0.07208424136858975,0.0,0.0,0.021852408174626897,0.075,other,3.0,False,Grass,
6,4,0.6666666666666666,6.0,3.24,0.54,3.1352,0.5225333333333334,-1.0,2.7133333333333334,0.4410280428298621,0.06875948085018746,0.0,0.0,0.020686292943996307,0.075,other,5.0,True,Grass,
7,4,0.5714285714285714,7.0,3.6300000000000003,0.5185714285714286,3.4973999999999994,0.49962857142857137,-1.0,2.521428571428572,0.5230786850712376,0.06177884568835322,0.0,0.0,0.053223476613763414,0.1,other,3.0,False,Clay,
